model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,443.68199726337394,870.7733647793764,1120.9874050996216,1294.4216801045477,1499.3111717861161,1675.0855464993383,1802.0747827137668,1976.7329541483614,2198.752597390534,2329.831896721459,2412.081915351233,2504.5561103105765,2556.508557844155,2672.9308568880615,2711.0941524783284,2734.829119894624,2715.8817023942142,2715.153117269745,2749.5257706992948,2837.0833785908635,2962.713886755966,3035.445378380997,3037.4591849809517,2981.5779559314583
NW_PARp,mean,728.4324696969701,1295.3992164634153,1640.4460582822076,1862.4188734567908,2084.7965590062126,2275.8067093750005,2411.365477987422,2588.3683196202524,2815.4893757961772,2949.6550961538455,3038.340164516128,3136.5916428571427,3193.4067287581706,3309.0781809210534,3349.2186192052973,3376.3940533333353,3360.513308724832,3361.6511486486506,3396.5434489795934,3486.780452054795,3617.5523965517245,3694.7240625,3700.34367832168,3647.3949014084496
NW_PARp,IC_UB,1013.1829421305663,1720.0250681474542,2159.9047114647938,2430.416066809034,2670.281946226309,2876.5278722506628,3020.656173261077,3200.0036850921433,3432.2261542018205,3569.478295586232,3664.598413681023,3768.627175403709,3830.3048996721864,3945.2255049540454,3987.343085932266,4017.9589867720465,4005.1449150554495,4008.149180027556,4043.561127259892,4136.477525518727,4272.390906347483,4354.002746619002,4363.228171662408,4313.2118468854405
NW_PARp-A,IC_LB,247.2695580482997,492.2315335765363,652.1235138057998,763.1211485837441,938.6322151329072,1077.2420272053116,1159.0414281155572,1273.504940197824,1446.5706489861868,1526.7729631641382,1597.8615973994251,1687.542156825893,1748.8275812721595,1909.8187017781524,1989.504568014128,2049.0642145733427,2057.6356114967502,2086.3151851090256,2148.6436895040097,2258.1200263895316,2403.9701939276274,2490.0397136093156,2515.8426024935115,2485.507693158518
NW_PARp-A,mean,538.3808030303034,920.7888048780484,1170.8771196319008,1323.5683148148146,1508.715065217392,1657.3739093749987,1745.2851509433967,1864.6055411392401,2045.0019649681524,2131.2398173076945,2209.3922193548387,2315.510574675326,2385.374405228759,2548.804684210528,2632.5456026490065,2695.7624833333334,2709.2945906040254,2741.985922297298,2806.238442176871,2919.9388356164413,3072.5468206896567,3164.629329861111,3196.2754720279713,3174.004404929577
NW_PARp-A,IC_UB,829.492048012307,1349.3460761795604,1689.6307254580017,1884.015481045885,2078.797915301877,2237.505791544686,2331.5288737712362,2455.7061420806563,2643.433280950118,2735.7066714512507,2820.9228413102524,2943.478992524759,3021.9212291853582,3187.790666642904,3275.586637283885,3342.460752093324,3360.9535697113006,3397.656659485571,3463.8331948497325,3581.757644843351,3741.123447451686,3839.218946112906,3876.708341562431,3862.501116700636
PARp-A_J_20,IC_LB,61.54052914445248,93.53358568398619,271.97362759120017,468.04642288310504,502.97340985480525,446.0449795184485,508.9779608399565,564.2287823493375,551.400004111955,688.9152920901352,655.3102772387609,648.0646410775811,757.7316370133235,802.2658062214018,825.8191047973389,778.4210560078424,790.0235799585747,814.7966154565871,813.3582255628081,827.3115397489248,839.5359127228234,897.5218268373602,903.8760179908747,897.4595612106515
PARp-A_J_20,mean,435.2912274737416,634.6297431676584,877.6278745949257,1113.5150725008612,1177.7476225579376,1152.2073084416472,1200.6905306976378,1237.7018844264337,1232.7003403622934,1352.251647440646,1333.808773496993,1324.0100878035869,1436.7277889176453,1463.4179915976583,1477.9663831939708,1436.536227495432,1463.3508782097156,1500.0723148436712,1508.2156931653715,1523.1356008870684,1540.1938438553236,1595.157860765231,1605.0910561177377,1607.122955078882
PARp-A_J_20,IC_UB,809.0419258030308,1175.7259006513304,1483.2821215986514,1758.9837221186172,1852.52183526107,1858.3696373648459,1892.403100555319,1911.17498650353,1914.0006766126319,2015.5880027911567,2012.3072697552248,1999.9555345295926,2115.723940821967,2124.570176973915,2130.1136615906025,2094.651398983022,2136.6781764608563,2185.3480142307553,2203.073160767935,2218.9596620252123,2240.851774987824,2292.7938946931017,2306.306094244601,2316.7863489471124
PARp-A_J_30,IC_LB,128.28038128307327,192.58692214074244,279.74337902587035,398.71090269639444,531.3965254577594,610.0464954361744,627.7085428297319,681.980519398336,715.0094384705307,764.5356700175032,798.0586042572027,888.7084352342907,1112.1860666202049,1183.085062039952,1269.9602154760896,1189.5626182636688,1185.4440923227824,1229.0404394560574,1250.9818072294702,1265.2521387156655,1210.5915103249845,1224.5787473750634,1279.713862751196,1307.0263459688476
