model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,438.3183649275691,866.3895736978093,1115.5995704826119,1287.4524928663914,1494.5447095210761,1670.8201562658076,1799.3537867170521,1975.8460264126952,2201.942646328395,2335.763887281284,2420.8885505092853,2514.84104690419,2568.647497254243,2688.2089894759647,2726.3881636536153,2748.92029268805,2729.114324866071,2727.7893102018443,2762.8103569926634,2852.7036154531443,2981.254598608679,3055.182074844546,3056.5535690576653,2999.228623214324
NW_PARp,mean,731.2522343750001,1303.4772987421381,1650.160984177215,1872.2980350318473,2097.5937211538458,2289.4842161290326,2426.844288961039,2605.7808366013073,2837.3616381578954,2974.69313576159,3066.724816666667,3166.6313489932886,3225.4024527027022,3344.1222857142857,3384.187297945206,3410.270434482758,3393.732114583334,3394.7156258741256,3430.649246478873,3523.788436170213,3658.181903571428,3737.274183453238,3742.570586956522,3688.3802043795617
NW_PARp,IC_UB,1024.186103822431,1740.565023786467,2184.722397871818,2457.1435771973033,2700.6427327866154,2908.1482759922574,3054.3347912050262,3235.7156467899194,3472.780629987396,3613.622384241896,3712.5610828240483,3818.421651082387,3882.1574081511617,4000.0355819526067,4041.9864322367966,4071.620576277466,4058.349904300597,4061.641941546407,4098.488135965083,4194.873256887282,4335.109208534177,4419.36629206193,4428.587604855379,4377.531785544799
NW_PARp-A,IC_LB,241.2809794161389,489.8211175376864,650.529131630603,763.2394193606268,942.1125793839277,1080.6349163834539,1160.8399388983664,1273.2654302747455,1446.3814153560131,1525.2822411056673,1596.9802324607472,1687.15523309529,1750.5988229795416,1914.6721610654986,1992.1799813875873,2048.7552343984635,2055.84355038962,2084.698594562967,2148.942282366428,2261.954422696258,2412.4627150700107,2500.2952821741264,2525.0305470389108,2492.4627672272445
NW_PARp-A,mean,541.089640625,931.8707672955978,1185.270243670886,1341.1866751592356,1530.2411923076927,1679.1549193548385,1765.8309805194804,1883.2288627450978,2064.1268190789474,2149.4127086092712,2228.506293333334,2335.7176040268455,2408.1088040540544,2574.4453061224485,2655.2735205479453,2715.192086206897,2727.493083333333,2761.099185314685,2827.955126760564,2945.9225815602836,3104.201175,3198.916586330935,3229.787025362319,3205.5231532846715
NW_PARp-A,IC_UB,840.8983018338611,1373.9204170535093,1720.011355711169,1919.1339309578443,2118.3698052314576,2277.674922326223,2370.8220221405945,2493.19229521545,2681.8722228018814,2773.5431761128752,2860.0323542059205,2984.279974958401,3065.618785128567,3234.2184511793985,3318.3670597083033,3381.6289380153303,3399.142616277046,3437.4997760664032,3506.9679711546996,3629.890740424309,3795.9396349299896,3897.5378904877434,3934.5435036857275,3918.5835393420984
PARp-A_J_20,IC_LB,105.57334856228857,151.7292603374301,346.27619156367496,566.3800816389221,695.1967575197076,706.490007423041,673.8436375383485,670.4260222211632,611.6236764976949,767.2190980225804,679.1323166727448,698.7656213427588,963.6549792670993,1019.596258609892,1031.6893933224505,874.0792110780184,782.0832483608481,791.7914953262871,809.3818021189506,814.8643131773815,732.8642138366062,777.4605475675603,747.9827335394941,740.4952204477195
PARp-A_J_20,mean,564.2548356732894,828.8352600354185,1092.6143239260414,1365.7877269451733,1459.1870001097975,1440.572102792455,1382.598586818992,1370.9463918669874,1301.2084202047465,1406.6333763186121,1318.6002377108186,1353.1663138864926,1590.4288239177142,1639.1658590479533,1678.7901100347312,1520.626236517007,1428.3844012194238,1453.621144554767,1482.3657660404917,1498.2000379127753,1421.986949447029,1454.5642875572564,1453.5595246463083,1465.5164456051743
PARp-A_J_20,IC_UB,1022.9363227842903,1505.941259733407,1838.9524562884078,2165.1953722514245,2223.1772426998873,2174.6541981618693,2091.3535360996357,2071.4667615128114,1990.7931639117983,2046.0476546146438,1958.0681587488925,2007.5670064302265,2217.202668568329,2258.7354594860144,2325.890826747012,2167.1732619559957,2074.6855540779998,2115.450793783247,2155.349729962033,2181.535762648169,2111.1096850574518,2131.6680275469525,2159.1363157531223,2190.537670762629
PARp-A_J_30,IC_LB,119.46101231994533,183.95191138748737,272.938172204887,393.24766103067884,529.5251136767662,607.4279730290974,624.4386003393968,678.9335946441324,711.3956872513107,760.926953699268,796.2555788838014,890.352496889209,1120.5760117506704,1193.3782006158565,1279.9313484717466,1193.690807837403,1190.1746081854862,1236.2085321368415,1260.1690978962793,1277.2836845906386,1221.701508054599,1236.2057014135737,1292.1150635928925,1319.1225676874053
PARp-A_J_30,mean,511.08079299679923,737.5126455836197,899.9806993267186,1050.4518409893176,1192.6027811554268,1268.158936118231,1293.6210978547147,1336.4771386589343,1358.8755638553455,1387.3456421113324,1428.6844128680937,1541.2965642871682,1796.9849112332936,1876.302396626758,1978.8091529851679,1885.8538888936835,1888.5618218891957,1945.1798062933387,1974.1914534869622,1997.1468431543558,1942.845003616049,1958.053153397953,2028.367830061914,2067.5476887483605
