model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.16443717420979698,0.31798276402138054,0.42185803753946804,0.49732100136815705,0.5710536058370764,0.6305869452314466,0.6733777076155012,0.7187859607731628,0.7719069578818563,0.8062907483202704,0.8320894225084469,0.8557415120711488,0.8727847279086849,0.8990656661747066,0.9116117434123123,0.9233051216575299,0.9271861226853038,0.9301257594518602,0.9408471727299568,0.9612166486741236,0.9897916079117731,1.008002169944687,1.010341280415341,1.0058089740559963
NW_PARp,mean,0.2311575970052044,0.4222090732396749,0.5506714381117565,0.6396914637900113,0.7278808406634873,0.7992968850367219,0.8505202885535694,0.9048541723835988,0.9678112591534827,1.0107264353375172,1.043799629972369,1.071107160369999,1.0890395293595507,1.1167499106900063,1.1298615407538515,1.1449114381769336,1.1502112131663527,1.154598220259768,1.1662307607522882,1.1890111015149556,1.2212842479867332,1.2417425998223761,1.2453705903620982,1.2395336744822276
NW_PARp,IC_UB,0.29787801980061185,0.5264353824579692,0.6794848386840449,0.7820619262118655,0.8847080754898983,0.9680068248419972,1.0276628694916377,1.0909223839940347,1.163715560425109,1.215162122354764,1.2555098374362914,1.2864728086688495,1.3052943308104166,1.334434155205306,1.3481113380953906,1.3665177546963374,1.3732363036474016,1.3790706810676758,1.3916143487746195,1.4168055543557876,1.4527768880616934,1.4754830297000652,1.4803999003088553,1.473258374908459
NW_PARp-A,IC_LB,0.12451962629174078,0.23383465122793956,0.30622008092658776,0.3467133251554494,0.3920310882865119,0.4319169768595388,0.4611785310027804,0.4961500887557707,0.5423786738914222,0.5737081264092061,0.6019600203912644,0.6263513542348914,0.6450187634527881,0.6811407857731538,0.7019275351443837,0.7217970966056593,0.7325858416478157,0.7456226176367831,0.7660034352206159,0.7943880577238901,0.8292008417894663,0.85305036291394,0.8636099681338005,0.8651649634999357
NW_PARp-A,mean,0.18831942029345494,0.3264547826289393,0.41773695873022954,0.46542496269435174,0.5193469201770521,0.5667812787198506,0.6024289008340795,0.6449562683594894,0.7002892627025465,0.7392152678003844,0.775920029434694,0.8062944508460351,0.827579600536827,0.8669526784911531,0.8908273267485087,0.9157969255917601,0.9308632929366906,0.9483939006096576,0.9725673442284418,1.006468487050287,1.046916562401707,1.0746784511018133,1.0879333832551936,1.088797849673543
NW_PARp-A,IC_UB,0.2521192142951691,0.419074914029939,0.5292538365338714,0.5841366002332541,0.6466627520675923,0.7016455805801625,0.7436792706653786,0.793762447963208,0.8581998515136708,0.9047224091915627,0.9498800384781235,0.9862375474571788,1.010140437620866,1.0527645712091525,1.0797271183526338,1.1097967545778609,1.1291407442255654,1.151165183582532,1.1791312532362679,1.2185489163766838,1.2646322830139476,1.2963065392896866,1.3122567983765867,1.3124307358471505
PARp-A_J_20,IC_LB,0.10960001458344318,0.17870987281062237,0.24835160193895658,0.28802537249871885,0.31048780230736217,0.32594535217177756,0.35462720783113727,0.372471900359187,0.37179994163338687,0.392130643221053,0.38885316344451226,0.3869142786050916,0.41541798173974787,0.41598474996798895,0.41946218399494617,0.41259290302290064,0.4203820554396552,0.42719424858318744,0.433445057561761,0.4367040613201664,0.4388184645155946,0.4467361155833033,0.4456247427482425,0.4492239785262097
PARp-A_J_20,mean,0.18629770997338752,0.28517927434378,0.3766214347092313,0.4277583536117176,0.45147264746567156,0.46951257324881635,0.4982135761443698,0.5201134139371767,0.5229513552545861,0.549240825977052,0.5477514688187882,0.5502075687249316,0.5871205679310445,0.5865352292176756,0.5914298312953238,0.5884920022129504,0.6003611080758212,0.6091355123422717,0.6164753912398038,0.6207250553282855,0.623942316979717,0.6333178818507627,0.634130022352599,0.638222777131841
PARp-A_J_20,IC_UB,0.2629954053633319,0.39164867587693764,0.5048912674795061,0.5674913347247164,0.592457492623981,0.6130797943258551,0.6417999444576024,0.6677549275151664,0.6741027688757855,0.7063510087330511,0.7066497741930642,0.7135008588447715,0.7588231541223411,0.7570857084673623,0.7633974785957014,0.7643911014030002,0.7803401607119873,0.791076776101356,0.7995057249178465,0.8047460493364045,0.8090661694438395,0.819899648118222,0.8226353019569554,0.8272215757374721
PARp-A_J_30,IC_LB,0.10994189559143143,0.17798363496661362,0.22634893400250236,0.26708602258607883,0.2979835142257752,0.325492813675474,0.3475854856531533,0.3612801644877306,0.36724676910390686,0.3805753419252546,0.39464924367309506,0.4108479454231164,0.46685522383142236,0.480103771952281,0.4992587194690647,0.48720477758826763,0.4944428407832942,0.5105587511627158,0.5266621670457805,0.5370957901712876,0.5291282671617948,0.5339981585371307,0.546022456657645,0.5533537186444741
PARp-A_J_30,mean,0.19052542625099977,0.2863801493458314,0.3541670701049256,0.40250036041807485,0.4346061680475813,0.464153560428077,0.4904353710395611,0.5075932817578691,0.5172214051450894,0.5358833804492797,0.5575940842192779,0.5792661974627414,0.6482110163156923,0.66271839486856,0.6852718621494333,0.6706297447616756,0.6809732522198237,0.7020585000314805,0.7207354216181328,0.7365849343156061,0.7297215590484963,0.7354398847176276,0.7520426300780197,0.7617083536140162
PARp-A_J_30,IC_UB,0.27110895691056813,0.39477666372504916,0.48198520620734886,0.5379146982500709,0.5712288218693874,0.60281430718068,0.6332852564259689,0.6539063990280076,0.667196041186272,0.6911914189733048,0.7205389247654608,0.7476844495023665,0.8295668087999624,0.845333017784839,0.8712850048298018,0.8540547119350835,0.8675036636563533,0.8935582489002453,0.914808676190485,0.9360740784599246,0.9303148509351978,0.9368816108981244,0.9580628034983945,0.9700629885835583
