model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.16174582683741834,0.3131857463347956,0.4145437120069245,0.4871601583291371,0.5601630469690915,0.619123771890331,0.6614937551952971,0.7063503213073221,0.7592534773687196,0.7935356943791849,0.8199744581328574,0.8435439311939039,0.8609211309009297,0.8875684983354242,0.899731354155952,0.9106105412153751,0.9142028100795222,0.9167873037307795,0.9274574393672865,0.948107326599246,0.9770355445901011,0.9951879180084775,0.9971254866791539,0.9923757078082536
NW_PARp,mean,0.22998076181406008,0.42001138928242393,0.5465675842751273,0.6330663319068041,0.7210986983555273,0.7923837152695137,0.843434749217217,0.897505986129419,0.9605393479905877,1.003642413492071,1.037684883202221,1.0650792860496794,1.0834251288871735,1.111615042810253,1.1244047669937542,1.138758856346124,1.1438540986532166,1.1479863724932546,1.159668388608078,1.1828841312405403,1.2157206520253525,1.2362697527448936,1.2396001529387028,1.233572168504887
NW_PARp,IC_UB,0.2982156967907018,0.5268370322300523,0.6785914565433301,0.778972505484471,0.8820343497419632,0.9656436586486964,1.0253757432391368,1.088661650951516,1.1618252186124558,1.213749132604957,1.2553953082715845,1.2866146409054549,1.3059291268734172,1.3356615872850817,1.3490781798315565,1.3669071714768728,1.3735053872269112,1.3791854412557298,1.3918793378488696,1.4176609358818346,1.454405759460604,1.4773515874813097,1.4820748191982518,1.4747686292015205
NW_PARp-A,IC_LB,0.12242663263641855,0.23202899903307284,0.30414462517822005,0.34452205005155345,0.3901228115087312,0.42960267862627943,0.45751290610555007,0.49080866389965594,0.5352197812398806,0.5647493169501323,0.5926616403182017,0.6163208705024429,0.6353799344405419,0.6716213787051653,0.6907275043778641,0.7084834403043647,0.7180879952508146,0.7303379211311171,0.7508027102049845,0.7802639263424478,0.8165702796939538,0.8410496549918827,0.8509852255856973,0.8515840232532621
NW_PARp-A,mean,0.1879295929883436,0.3274485596391932,0.4190306601631518,0.46684456841369615,0.5213421475734032,0.5685594587350872,0.6029758559301149,0.6439442287958673,0.6976216863721788,0.7348817656203919,0.771569462042132,0.8013901890974339,0.8231613723617428,0.8627927395655031,0.88496370371481,0.9078159172334446,0.9217494628180511,0.9386406464401187,0.963111958760415,0.9984620930671796,1.0407781931138005,1.0694377335092735,1.0822126414008877,1.0821448658012116
NW_PARp-A,IC_UB,0.25343255334026865,0.4228681202453136,0.5339166951480836,0.5891670867758388,0.6525614836380753,0.7075162388438949,0.7484388057546798,0.7970797936920787,0.860023591504477,0.9050142142906514,0.9504772837660622,0.9864595076924249,1.0109428102829439,1.0539641004258409,1.079199903051756,1.1071483941625244,1.1254109303852877,1.1469433717491204,1.1754212073158457,1.2166602597919114,1.2649861065336472,1.2978258120266644,1.313440057216078,1.3127057083491611
PARp-A_J_20,IC_LB,0.12338364033175163,0.19700687215976737,0.2553630542042348,0.2961885092375237,0.31508374434938846,0.33617336011539667,0.360912977543689,0.373103052012985,0.35589148049407765,0.3653794324545731,0.35389945769879755,0.3562874334179454,0.40491401965487994,0.4010986514136563,0.4075816200081074,0.38610238870768715,0.3821137940575399,0.39264307217303235,0.4114417102859118,0.4153962251639519,0.39448641984181776,0.3862975767399863,0.38081690325145645,0.3880624719057165
PARp-A_J_20,mean,0.2129193053144059,0.33117433349781683,0.42455352703657107,0.46735060848596294,0.4831727344429865,0.49595267950309685,0.5112573791659667,0.5245407618448131,0.5080378674922963,0.5212938786864396,0.5174415222097623,0.5257024373080332,0.5714391638011107,0.5668056309911366,0.5826709669504749,0.5587463188903418,0.5573435515133216,0.5725378803883653,0.5939446392696693,0.6010451637641816,0.5835412134501973,0.5747057559036914,0.5761945337437074,0.5850653397619867
PARp-A_J_20,IC_UB,0.30245497029706014,0.4653417948358663,0.5937439998689074,0.6385127077344022,0.6512617245365845,0.655731998890797,0.6616017807882444,0.6759784716766413,0.660184254490515,0.6772083249183061,0.680983586720727,0.6951174411981211,0.7379643079473415,0.7325126105686168,0.7577603138928425,0.7313902490729964,0.7325733089691033,0.7524326886036983,0.7764475682534269,0.7866941023644113,0.7725960070585768,0.7631139350673966,0.7715721642359584,0.7820682076182569
PARp-A_J_30,IC_LB,0.1074340228133961,0.1758266882821107,0.2246096766540412,0.2652008797689075,0.29638371634727556,0.3239051310341575,0.34576263233115145,0.35862597965154586,0.3637456874623706,0.37591361782205085,0.3905973450372269,0.40739920405336627,0.46443841352867066,0.4780224324099771,0.4963801981168354,0.4822466452207206,0.4894004097323195,0.506024886562342,0.5229515280962002,0.5352840613758302,0.5284460885735229,0.5338271853579524,0.5458739739705422,0.5527033425103698
