model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,median,0.12392255314424341,0.2031716807096148,0.35343100714516207,0.4749785008620228,0.5788384992447987,0.651913816926767,0.6950521431075019,0.7366149705095643,0.8521220092912323,0.8345429051195828,0.8796515157943989,0.9246677292668058,0.9146868800069975,0.9373832055881441,0.9646419588429718,0.9818493491006658,0.9880412319826657,0.9841678908148821,1.0011787765626325,1.0367199229568307,1.0559831447242811,1.058222533240028,1.0671049373812815,1.0723002835991309
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,median,0.09106408905212854,0.14657313265770838,0.21831028804682956,0.2748391047187265,0.3416381601355348,0.38896661125783655,0.44975724102261816,0.4599846759745931,0.5371538006880234,0.5821234916157342,0.6255888741581614,0.6343251279299256,0.6587035577057965,0.7011004225738062,0.7145920811463164,0.75276647960978,0.7357853508925676,0.7467392744934473,0.8096469165499794,0.8183614442513879,0.8751690198603697,0.8891375947117697,0.9005308500282159,0.9183693078877757
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,median,0.10976318024486673,0.1503094622136357,0.15916321166508565,0.22952334205317845,0.2588516696289178,0.2733312480574335,0.3388672845401817,0.38648882553696623,0.38058893404753547,0.3414763954867832,0.35981087389996447,0.3488632136922608,0.43572136072148154,0.4592803965659737,0.4711873446977718,0.48350117198930537,0.4633654921891194,0.45594619768836664,0.4734954227614544,0.46550128845191935,0.44514635529355684,0.45351816898604086,0.4551436147039536,0.4252669296548662
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,median,0.09048761791457327,0.13043457100805894,0.14150414970130806,0.18089863322160787,0.21981060484708698,0.2552403338693043,0.30975572727852374,0.31690398588380103,0.3878699181590193,0.38468114064476117,0.37295396164632943,0.3802115289700411,0.4424646264659935,0.4739802785123053,0.48506119007583826,0.4966135939653522,0.49873302439842326,0.503417370828821,0.5179573701121092,0.5330625883141393,0.538129809302839,0.6051805414681407,0.5574550376672334,0.5639413914162072
PARp-A_J_30,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,median,0.09075910485352558,0.14602302167864892,0.16904798747771366,0.24748070738700695,0.264588609197424,0.31606577652166007,0.35549888063112933,0.3412311889782671,0.38802844625985067,0.38396867637718246,0.407281867338397,0.44593477151697564,0.5337334615745077,0.5109899350253398,0.5406729878764056,0.5146042224682441,0.553802495306631,0.5452537001246341,0.6065896581398043,0.6640403539271736,0.6761501366062233,0.6338310516821346,0.6673055691808876,0.697752257671437
PARp-A_J_40,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,median,0.08042821027197053,0.13586101803397863,0.1722033960468451,0.2193197246699496,0.2644319200418569,0.3115394444788581,0.3396853431749669,0.35961164213248903,0.4230617283305754,0.41223463969657975,0.4314030101469266,0.4351206835708857,0.50576949151499,0.519380630371571,0.5018266671768862,0.5546122829693768,0.5663040888100435,0.5614007077725964,0.6032953565759744,0.6311768608385648,0.626197149500541,0.6333198871950748,0.6680234280469117,0.6985788201983278
PARp-A_J_50,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,median,0.08372321040515507,0.14784968614499874,0.1830429090565901,0.2487517121625807,0.27960170317823185,0.3360691967081375,0.3503196353786762,0.36599709370096445,0.42312291544560177,0.4351976073792439,0.43114919112529604,0.44137516056909953,0.4959516070324733,0.5730590032667335,0.5530041435128605,0.5920694023558547,0.5655324476887784,0.6094228599653928,0.6374553387807504,0.6608531259434699,0.6668202522965889,0.6772676641236051,0.6794110495458601,0.730680976245296
PARp-A_J_60,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_70,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_70,median,0.0951776126870868,0.14289469361646107,0.20237920753316951,0.2637563579145884,0.3250931818378021,0.37624892463145876,0.43685704278775894,0.4506065597756705,0.5414642736411686,0.514730768073976,0.5285231374567736,0.5579516913757167,0.6336321519506283,0.6526663679748415,0.6964085048428867,0.6845562276345152,0.7279850287998713,0.7246202087343068,0.7488134614092858,0.7644519055203208,0.784813973034303,0.7992027093034468,0.8146511901813072,0.8782919946400413
PARp-A_J_70,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_80,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_80,median,0.08305424717688464,0.14278958561862326,0.19280889742259866,0.2586838759435118,0.3346635959455453,0.393645780689217,0.44668440679031834,0.4568800364077394,0.5315587980115517,0.5110735306158588,0.5170430561505834,0.5837160447850079,0.6390163348996798,0.6926675416009888,0.6936706065394455,0.7075337380107217,0.7060133111565585,0.7354716833307843,0.7574425334237904,0.7606243215211366,0.8042202717864927,0.8457988099487689,0.8547292478928876,0.8777933384072195
PARp-A_J_80,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_2,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_2,median,0.09026498310681258,0.15360736969003214,0.20677117807509543,0.2837255475766063,0.34758115499266906,0.39868852504684943,0.4627213122163257,0.4615952156697976,0.5248236758231232,0.5212830875319882,0.5744103938408545,0.6081321259491272,0.6451634062177674,0.6635362781146072,0.6936514242729845,0.7080981347548307,0.6996538822771976,0.7365745808437038,0.7438302502379375,0.7676069063257653,0.8414580672988037,0.872656831724468,0.8722484678242027,0.9028560528606837
