model,statistics
NW_PARp,62812.59022727274
NW_PARp-A,49027.12459696968
PARp-A_J_20,28792.26376190914
PARp-A_J_30,33840.294231417756
PARp-A_J_40,36173.32014203907
PARp-A_J_50,34537.816246946604
PARp-A_J_60,37499.00848383583
PARp-A_J_70,44731.66910752404
PARp-A_J_80,45654.921408502785
PARp-A_w_2,47635.177434654615
PARp-A_w_4,46110.47330355597
PARp-A_w_11,40193.90401407373
SeasonalNaive,5271.997999999996
SARIMA,7863.418254153531
StructuralModel,41359.29225505712
ScoreDrivenModel,3747.784919966241
MonthlyMedian,3863.0173939393876
