model,statistics
NW_PARp,63217.629309375
NW_PARp-A,49356.924934375
PARp-A_J_20,30451.1449140823
PARp-A_J_30,34224.793331454275
PARp-A_J_40,36417.18145480372
PARp-A_J_50,34681.31253372035
PARp-A_J_60,37749.15175394437
PARp-A_J_70,45155.90330684086
PARp-A_J_80,45965.45235409077
PARp-A_w_2,47948.55052390765
PARp-A_w_4,46349.997279408635
PARp-A_w_11,40304.937815200596
SeasonalNaive,4861.7761875
SARIMA,7625.489316817933
StructuralModel,41204.94033727652
ScoreDrivenModel,3374.2521540156677
MonthlyMedian,3617.549187499998
