model,statistics
NW_PARp,64535.389749999995
NW_PARp-A,53605.3085
PARp-A_J_20,30374.06550029893
PARp-A_J_30,27933.66226573602
PARp-A_J_40,37422.93884738258
PARp-A_J_50,33846.308942527496
PARp-A_J_60,37945.22468537
PARp-A_J_70,47269.24923828087
PARp-A_J_80,50209.80509851177
PARp-A_w_2,52658.167685738495
PARp-A_w_4,49005.963065976954
PARp-A_w_11,40975.83289138066
SeasonalNaive,10040.105000000003
SARIMA,12561.409166473946
StructuralModel,33430.15867609718
ScoreDrivenModel,5670.837925896121
MonthlyMedian,8759.23999999999
