model,statistics
NW_PARp,0.7043791574387243
NW_PARp-A,0.5542951513514037
PARp-A_J_20,0.3497166152400986
PARp-A_J_30,0.3988928057928168
PARp-A_J_40,0.42495086086271866
PARp-A_J_50,0.4096832770904359
PARp-A_J_60,0.4351511510218682
PARp-A_J_70,0.5100897741400308
PARp-A_J_80,0.523339348555293
PARp-A_w_2,0.5394756997022171
PARp-A_w_4,0.522059014550435
PARp-A_w_11,0.45494477531740896
SeasonalNaive,0.099703386856318
SARIMA,0.14030689638851687
StructuralModel,0.41436126022834224
ScoreDrivenModel,0.08568917699503012
MonthlyMedian,0.11914239287812348
