model,statistics
NW_PARp,0.698473731039702
NW_PARp-A,0.5530540824222322
PARp-A_J_20,0.3541488367773232
PARp-A_J_30,0.39762886893218263
PARp-A_J_40,0.42466309866028296
PARp-A_J_50,0.40750839894523516
PARp-A_J_60,0.43365743912633536
PARp-A_J_70,0.5124652438833424
PARp-A_J_80,0.5224167220933131
PARp-A_w_2,0.5384810179411501
PARp-A_w_4,0.5206273266559877
PARp-A_w_11,0.45197167158324475
SeasonalNaive,0.08201819170322841
SARIMA,0.13064043355034657
StructuralModel,0.40231598397851676
ScoreDrivenModel,0.06412214534533929
MonthlyMedian,0.1047125817970767
