model,statistics
NW_PARp,0.6122861226947224
NW_PARp-A,0.5181125546691032
PARp-A_J_20,0.32272899598387284
PARp-A_J_30,0.3042309388343637
PARp-A_J_40,0.39619649529778755
PARp-A_J_50,0.36659664049757223
PARp-A_J_60,0.39489636081561585
PARp-A_J_70,0.4489828728713191
PARp-A_J_80,0.46422555012034045
PARp-A_w_2,0.4975425260209718
PARp-A_w_4,0.49514071773829393
PARp-A_w_11,0.4121877596742471
SeasonalNaive,0.13415125310879633
SARIMA,0.1356359940161416
StructuralModel,0.35579586831247934
ScoreDrivenModel,0.07858210530106129
MonthlyMedian,0.16120985866158943
