model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,mean,959.2455139196967,1304.5739529192074,1481.6806406457056,1596.4455661188274,1669.64087052795,1749.239886089063,1829.7451042955963,1917.6533844667724,2011.1452458598733,2085.054886666667,2145.252040985483,2208.086542922078,2257.583741112743,2309.619163021381,2315.669162846026,2331.261143623334,2337.01896895973,2332.4159715304054,2349.642949795919,2404.8543878219184,2491.9694535948265,2535.6542241840266,2557.4763658531456,2519.9604670422545
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,mean,941.2599649651512,1222.1846567439034,1337.0037270598157,1402.9099952870372,1428.7158552903722,1466.5127070609374,1509.1604304433963,1550.2117188844945,1613.0611873742037,1665.3983146746789,1714.399408977419,1779.5171502581165,1830.6489518169942,1891.0815637927635,1906.7968714205294,1940.3093841016657,1959.9897147651004,1973.9220346131754,2004.3139146972792,2071.8604470924656,2161.4896265137927,2210.6856661927077,2246.072250784965,2237.488026695424
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,mean,1251.761352896515,1414.4193222779415,1520.1293969735366,1573.4236188464288,1603.197286659286,1612.9038236270674,1584.8590181753593,1537.3978516179886,1536.1297267108262,1549.5209511242765,1551.6048563536185,1526.1047902600014,1590.2545685336768,1550.1928433634907,1534.0732229247005,1510.5548493092,1536.6181704510714,1553.2049812758464,1574.1929932688165,1579.8819550681478,1583.9377414776725,1595.386502078374,1596.1775626431352,1601.311758050614
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,mean,1163.717048986336,1404.6159782876875,1449.0313443459054,1510.7711740624486,1510.960875653127,1496.4896331181626,1523.5608905942674,1499.3660056297679,1465.0437589643034,1431.559721599918,1448.7321811411905,1498.9219069986952,1650.7200837372568,1667.6957404826355,1706.1301058813444,1666.622272531238,1665.0726423316921,1688.7328398356674,1701.358573672581,1719.5971421987222,1715.0250069535364,1709.6020677872325,1728.0719252699255,1752.5839342998245
PARp-A_J_30,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,mean,1071.2793341641425,1329.1020137695557,1422.0263236603791,1440.9846992439002,1410.380319628479,1420.390555519616,1435.1787313260593,1426.562396401722,1415.207150573215,1412.7391891197365,1447.1398596547785,1509.3113307863837,1591.7022635736928,1612.7222450874456,1647.8608398339225,1612.6384173013023,1628.7360523882774,1689.151571493832,1732.0296686515067,1767.5156208558117,1754.657232588776,1748.8544861911587,1786.257275380933,1820.9920142506078
PARp-A_J_40,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,mean,1046.1801630222385,1306.6002172615993,1396.6896129099055,1425.083661610375,1404.8618982711835,1426.3160580547633,1442.8607057307474,1448.7534351882541,1446.8482853685516,1437.5893066912479,1464.8422464772157,1520.032702855008,1611.9150016469653,1645.7866539208483,1671.3928189748353,1629.2653353839037,1644.7647590733484,1685.409703997814,1723.9471741066773,1758.797622556102,1746.5252283033083,1751.1934398112653,1788.2574592830038,1818.1632732517942
PARp-A_J_50,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,mean,978.5802022550332,1276.5822150210938,1367.6981788496134,1415.1182566307211,1408.9485510187976,1431.2335049824262,1452.0221119767148,1462.9739071785002,1468.3474821328705,1465.5991296229492,1497.5698908084785,1545.9206640352713,1624.369235836266,1658.720974574027,1695.3229922817993,1655.495177792903,1669.304399652488,1710.6658298995735,1747.84926041851,1781.1036757221705,1766.0801140967465,1775.4611069326643,1817.2600589700455,1847.7861153051588
PARp-A_J_60,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_70,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_70,mean,1013.7814660988048,1290.3321005004525,1371.7361384419746,1428.2397879695113,1449.5892612254113,1511.5934841312728,1546.7400443378115,1568.6391015245435,1579.174813287962,1578.3857099161737,1612.296838342609,1680.1532016805304,1789.752898369444,1828.5230327886288,1874.3111596235572,1838.4752581668893,1861.0428419509215,1904.6543827476864,1945.519319933522,1985.123325139747,1970.8204015070833,1982.3007321320724,2027.742865261597,2061.386444542964
PARp-A_J_70,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_80,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
