model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,mean,978.3517093046872,1327.134291709119,1504.2541851851265,1617.9169257149679,1691.3577539535258,1770.9444780112906,1852.261556147727,1940.376971911765,2034.757384019737,2109.962143733443,2172.6787681850005,2236.5234048087245,2287.481655699324,2340.361857081633,2345.3738327482874,2360.0722546827587,2365.9096966059024,2361.1188883863642,2379.0850874612674,2435.7946078138298,2524.8031849874997,2569.531783034173,2591.6937037499997,2553.4663692627732
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,mean,963.5438225140624,1250.2429353584903,1366.46785172943,1433.5460250477706,1459.623605233974,1497.289019617742,1539.3414180194802,1578.709350369281,1640.0860996266445,1691.23566563245,1740.74566322,1806.358124486577,1859.1655138141891,1919.9334851802719,1932.062721469178,1962.289933622413,1980.8939256909716,1995.1154195017477,2027.4443971549285,2097.7406638758866,2190.9655196482136,2241.7113656852516,2276.9970438097826,2266.742738306569
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,mean,1473.3763759204276,1758.3764645766003,1826.2913403938671,1929.0373439434657,1831.9290897998014,1769.0882770690218,1745.4914833305133,1708.322420281542,1647.2193942547897,1610.764057732893,1560.6297068907722,1559.9441795364546,1651.0657113648206,1603.4823006981665,1616.7603761034038,1544.287693692417,1543.1248028967666,1562.183469161659,1584.5920188219898,1602.8376053504555,1573.034831717297,1536.9964977680052,1547.682896550966,1569.4526482858982
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,mean,1190.861064955214,1439.0956820662652,1484.2387970328596,1547.2294761142068,1547.4556942741158,1531.5968326600434,1558.6149155490737,1532.890163627078,1496.5582506858123,1460.6719120498533,1478.772719476151,1530.7205055035058,1686.3049280619296,1703.9100176663908,1741.3353589380315,1698.2708129061286,1696.7817030418748,1722.119026509459,1736.2644203886905,1757.6871229099404,1754.8411684658895,1749.7210563470462,1768.4126578273388,1792.7634597470133
PARp-A_J_30,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,mean,1097.3333780872292,1358.4790517739518,1452.2317540502731,1468.3207090695475,1437.210001498486,1448.8156851454837,1465.3238181862082,1455.1283357633272,1442.5968441089979,1437.761048459658,1472.126998224242,1534.477461714748,1616.1177858225897,1637.2208787553052,1670.5322455477508,1631.9646883807961,1649.531715454395,1713.1268197520837,1758.5805882611533,1796.618095311568,1785.3219013421967,1779.356381762343,1817.2208907870154,1852.3465664318942
PARp-A_J_40,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,mean,1069.2811869798377,1337.7097030520836,1428.6157841151517,1452.0948242309305,1429.7862849907679,1452.8963346914293,1469.544898756844,1474.5115468711394,1473.0812764951315,1462.6666814968612,1490.652963814399,1546.2310201244916,1641.2623545277813,1674.8897773468987,1697.1822498174115,1650.812761287807,1668.132640187875,1711.0456005795272,1751.8626232036352,1788.709532706952,1777.6356362467377,1781.4226253498903,1818.3096459040253,1848.1220025776104
PARp-A_J_50,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,mean,1002.2135521874359,1308.5143992917183,1401.0599819665752,1447.8473638283956,1441.3482485656837,1463.2975318553124,1483.3298821185156,1492.5750972335675,1496.816527177614,1492.9095346019876,1525.7719914994352,1574.4399576083015,1655.2128529370784,1688.4998239472486,1721.5400323642416,1676.1739710202987,1689.9498107633208,1733.1660282296775,1772.7168818565085,1808.388008939633,1795.5852272890766,1805.2958429341277,1846.9785234086473,1876.9329209414493
