model,statistics
NW_PARp,44504.20580696818
NW_PARp-A,33651.1598867106
PARp-A_J_20,26905.220639113948
PARp-A_J_30,26942.653316176005
PARp-A_J_40,26113.49121447886
PARp-A_J_50,25848.4402586079
PARp-A_J_60,27201.172740177113
PARp-A_J_70,31737.233668153836
PARp-A_J_80,32065.557466068065
PARp-A_w_2,32818.57359808437
PARp-A_w_4,31653.01298980502
PARp-A_w_11,27809.061220760188
SeasonalNaive,26662.253393939383
SARIMA,21610.404226458624
StructuralModel,26608.62200907624
ScoreDrivenModel,20506.09157213029
MonthlyMedian,35739.86963636364
