model,statistics
NW_PARp,44894.14763797656
NW_PARp-A,33981.513915379684
PARp-A_J_20,28178.106958950648
PARp-A_J_30,27444.849025474454
PARp-A_J_40,26443.130454071477
PARp-A_J_50,26150.497199598685
PARp-A_J_60,27556.41051463376
PARp-A_J_70,32163.81727773205
PARp-A_J_80,32423.25479329104
PARp-A_w_2,33137.78962772238
PARp-A_w_4,31902.93387248081
PARp-A_w_11,27980.460400458127
SeasonalNaive,27011.183062499993
SARIMA,22108.480279944462
StructuralModel,26903.578311511188
ScoreDrivenModel,20914.880268751986
MonthlyMedian,36669.2581875
