model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,mean,1307.274363636363,1790.4790243902435,2100.0177300613495,2323.141543209877,2434.76447204969,2557.2993749999996,2674.8909433962262,2776.2915189873415,2912.168598726114,3004.728141025641,3076.665419354839,3170.748311688312,3261.3144444444442,3329.046513157895,3332.4960264900665,3332.8577333333337,3346.254899328859,3356.5357432432434,3370.4402721088436,3436.886164383562,3556.627655172414,3603.425416666667,3622.7807692307692,3590.9368309859155
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,mean,1312.9782424242421,1688.1252439024386,1903.307300613496,2011.089444444444,2033.2775155279496,2104.0486249999994,2184.9784905660376,2233.4579746835443,2333.139426751592,2410.336217948718,2476.287612903226,2588.9040259740264,2687.239150326798,2752.2700657894743,2789.5015894039743,2819.489200000001,2849.916778523491,2875.728851351352,2915.920136054422,3003.638767123288,3138.9778620689654,3197.917638888889,3232.5067832167833,3234.2038732394367
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,mean,1625.0303919674059,1962.199625366898,2079.8259846587853,2169.3960083735556,2195.633318243576,2228.8441945073964,2209.4370040127947,2127.6833567877197,2149.511404385596,2207.662709119184,2238.5500681377644,2183.2120338793065,2305.569336597233,2244.690236841092,2201.3971925017604,2166.3170022618224,2200.3108462500477,2228.3325729660414,2257.5272452529166,2239.7319357006168,2259.415316429099,2291.957375035936,2286.496888979268,2311.1181545535287
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,mean,1579.3511631817564,1956.4729615061415,1991.4121419066284,2110.822533285164,2101.481075888218,2108.50802750648,2140.5067003438685,2116.865108117864,2087.7106015268464,2026.8441955153555,2071.268283210844,2188.199236966717,2381.730483204498,2417.249639404437,2483.5548262046545,2411.711918953031,2404.417132261701,2439.3313159006434,2465.19563047287,2488.313166249895,2459.0256883046386,2458.1154109053787,2481.293119002092,2516.560228827832
PARp-A_J_30,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,mean,1479.3364341697702,1895.8511758479542,2007.0618834909765,2055.1845964977024,1987.5164310038588,2032.0389709894218,2048.393778928443,2024.2061714943884,2014.7304075679072,2011.9996560342995,2090.028209875423,2215.9369659892955,2373.7110798183444,2408.3657460465606,2460.2884303150563,2399.1874700699946,2416.9259298307643,2498.0825702265565,2581.9337085958064,2638.703050722567,2616.9462813829896,2614.515507251699,2653.4724210297804,2715.931466808505
PARp-A_J_40,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,mean,1496.3254682003349,1854.125063925753,1998.861136042573,2056.692870189519,1997.443771930567,2059.3564836716005,2066.54750005037,2075.6283547817034,2070.649403926287,2052.6954769832673,2097.356876584463,2224.507498375546,2355.1941283865026,2438.712273686779,2448.693877376703,2367.127928856486,2397.127068906192,2455.926821399227,2536.8718095431764,2568.313515742954,2557.4083955427923,2569.5481464285886,2616.420035180347,2679.5586397598972
PARp-A_J_50,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,mean,1400.8651641690174,1809.9801137089344,1934.026565103652,2022.3110261392187,1988.3893866968826,2053.1247998524673,2082.243254261833,2095.1001278912154,2111.141830552437,2095.862773623819,2143.412223136413,2258.654437318765,2372.569764622758,2443.2012764325605,2495.359390028576,2416.021121550448,2429.8832179914,2491.29538408273,2553.3237410420056,2608.7892435649874,2578.390263356903,2594.7984729402006,2653.813235680937,2715.10103390118
PARp-A_J_60,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_70,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_70,mean,1440.9634193469167,1847.2889122414485,1956.1133832974185,2058.2658943114825,2056.034025944874,2183.6686630972986,2245.663646971077,2257.285101041018,2281.5648194844835,2267.4717061027113,2325.464507867018,2455.290029196739,2612.8992897244657,2681.8222242060497,2747.341011540811,2679.250690285195,2709.451060656857,2765.362622623923,2833.1670079801934,2903.432270748921,2859.5801408867924,2886.8874714523326,2939.9655101980043,3008.448603161096
PARp-A_J_70,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_80,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_80,mean,1405.4539815521712,1778.4329354697143,1974.2746298786308,2069.5057998726625,2079.3759306496345,2197.438011616053,2244.4476287784237,2269.3583170740017,2275.3426841380515,2269.4129376806154,2330.0182304642267,2480.5509233819052,2642.827086344379,2706.9579470295844,2786.6899773795826,2711.394674583772,2760.2595320423775,2810.0715817545083,2888.1686740171695,2958.7855515421493,2918.7932349288394,2951.7260051625894,3004.453179281441,3075.843551362133
PARp-A_J_80,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_2,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_2,mean,1374.2763005847096,1742.7401572945485,1947.615834404437,2058.7209835916688,2073.3390437001963,2219.1200831232127,2264.960490752479,2297.8826967419213,2313.609785063825,2307.0772375697898,2361.5449286116636,2507.8353135272564,2669.2468066890783,2733.436568043402,2821.078530049143,2763.5755231172798,2823.4119398393527,2874.3646859780365,2952.198994664088,3016.1355239882373,2969.943181956978,3000.9953282515357,3048.7239698245344,3119.6601427447617
PARp-A_w_2,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_4,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_4,mean,1359.6579611209977,1705.312086032996,1918.8764927911757,2024.0163950559559,2031.1221818004078,2164.725859464283,2212.5534261960925,2242.612777507413,2259.5246659090403,2252.333014052356,2304.7273238502,2439.5348468477077,2612.2123287480113,2673.2302493954585,2762.3932618166245,2709.540053176338,2773.2505805768515,2818.381485730375,2894.6830470741374,2957.833808860131,2911.821489961751,2943.2832789690356,2981.138931567095,3049.4657523800784
