model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,mean,1332.5069374999998,1818.469937106918,2129.13082278481,2353.4185350318467,2466.1112820512817,2586.8269677419353,2705.0840259740257,2804.7081045751634,2942.534539473684,3037.6117218543045,3112.6528000000003,3208.822281879195,3301.674932432433,3370.7166666666667,3371.929315068493,3371.4995862068963,3384.154583333333,3393.5109790209785,3409.0307042253517,3478.0259574468078,3600.1234999999997,3648.212517985611,3667.767608695652,3635.286934306569
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,mean,1343.1270625,1728.6884276729554,1948.177278481012,2057.6905095541397,2078.808333333333,2146.9616774193546,2226.4309090909087,2270.893071895425,2367.5932236842104,2444.362450331126,2510.529066666667,2623.832214765101,2726.455202702703,2790.3185714285714,2821.445342465753,2849.22524137931,2877.756111111111,2902.9066433566427,2948.229154929577,3037.9045390070914,3178.5362142857134,3237.0210071942447,3272.3278985507245,3273.0308759124086
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,mean,1881.9791386187287,2311.8060558126053,2404.1116285700973,2561.6634369587464,2418.2723693060966,2401.886108976951,2386.9492376986555,2340.292141844107,2238.867430054303,2212.3128580715597,2156.8737836684277,2226.451538404737,2396.1018003290774,2352.592009413171,2361.0179093051174,2280.4223133588466,2266.763324532986,2305.327628170108,2325.843358474549,2319.114531369253,2253.7644829874903,2208.4998072315634,2200.570404566292,2251.160314863643
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,mean,1615.9303810082845,2003.8524058249589,2039.3461107356316,2160.2847587674755,2151.456710192736,2155.0271344716807,2187.1857269829206,2162.4547025703014,2130.60691427734,2066.508295961387,2112.372962218348,2233.5128598649376,2432.2949982884916,2468.3128924255334,2532.7993996477176,2455.8814940399407,2449.8778058627868,2485.963244308685,2515.4103094887773,2541.7374127284834,2512.8138111753897,2512.5232253861127,2535.7192183883194,2570.9054483133255
PARp-A_J_30,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,mean,1514.996808545157,1937.7323409742428,2048.6884837383136,2092.467119010019,2023.3975114364434,2070.5649567881505,2088.917082385685,2062.0651086792172,2051.509096644706,2045.3027159692087,2123.9999638091795,2251.427778707343,2410.3813749023384,2445.147591350856,2495.0972097196964,2429.7291633737605,2449.7961809912313,2534.468042067882,2622.642912329925,2682.2815230754036,2662.4428253316073,2660.199088316435,2699.2384133851324,2762.3069972575763
PARp-A_J_40,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,mean,1530.129120562204,1898.536286638323,2042.8968183255809,2093.207006397539,2030.475309677118,2095.12525674158,2101.6018773607693,2109.294126234389,2105.279365137623,2085.950603741321,2131.54804399189,2260.2666125881965,2395.6413579195,2478.744380522823,2484.215571012832,2395.529336444557,2428.815404253416,2490.5926591267753,2575.1382603957086,2607.5803165620496,2598.656969640813,2609.309384620796,2655.1511739299335,2719.6499983476338
