model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,median,550.1749999999998,839.4699999999998,1183.2999999999997,1253.18,1484.2649999999999,1650.9,1773.5299999999997,1841.17,1960.625,1974.7600000000002,2205.0200000000004,2233.19,2362.125,2406.1099999999997,2424.375,2473.59,2476.755,2475.9,2507.1850000000004,2535.8500000000004,2733.7300000000005,2789.0600000000004,2786.375,2715.9
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,median,470.6899999999998,683.4000000000001,827.035,1148.1000000000004,1210.185,1288.23,1250.1850000000002,1336.16,1485.8849999999998,1494.11,1572.315,1654.4899999999998,1776.9750000000004,1849.89,1824.4100000000003,2084.4300000000003,1939.7050000000002,2034.08,2163.6200000000003,2199.09,2230.735,2256.5300000000007,2383.5350000000003,2368.3900000000003
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,median,644.2585911120957,756.9612464815782,999.1467398183393,1122.3688520628102,1181.294355137807,1425.8838532073014,1386.9055485202969,1336.4507082337673,1303.4419316888136,1290.6979274511416,1322.911548593696,1355.6935977251542,1495.650889501067,1507.8790101757784,1502.9201849934266,1507.6339134127838,1483.9830594691175,1547.2797747853301,1543.856949782568,1504.089007750199,1450.0344697489497,1406.7828599968475,1392.0942008483823,1449.395833083061
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,median,626.1094397950885,704.6919089788717,709.7474880011682,1083.35663791968,1023.65852743868,971.9296332182239,1092.7708109083887,1182.860008907877,1152.0913754265594,1183.557981864341,1282.1536853244634,1488.3896715328456,1495.7458940381794,1568.2898631288588,1591.2678532405885,1585.9132249196366,1500.922521516635,1565.0122557482894,1613.6091077534234,1708.1827617898389,1669.000499098452,1697.209366563533,1640.976759819868,1764.7529060154145
