model,statistics
NW_PARp,55122.29642424243
NW_PARp-A,43334.9441818182
PARp-A_J_20,33157.76943355684
PARp-A_J_30,33860.455395722885
PARp-A_J_40,34388.404168469264
PARp-A_J_50,33804.39384842849
PARp-A_J_60,35217.706407980804
PARp-A_J_70,41274.87960244961
PARp-A_J_80,41890.737222288706
PARp-A_w_2,42887.26281119004
PARp-A_w_4,41422.74624945219
PARp-A_w_11,35787.96873755122
SeasonalNaive,26662.253393939383
SARIMA,27968.363096665536
StructuralModel,29275.62114324984
ScoreDrivenModel,27121.82836473764
MonthlyMedian,35739.86963636364
