model,statistics
NW_PARp,55413.522437499996
NW_PARp-A,43667.183437499996
PARp-A_J_20,34463.6408303715
PARp-A_J_30,34403.64492891567
PARp-A_J_40,34668.58361194906
PARp-A_J_50,34013.45823758339
PARp-A_J_60,35533.26159287694
PARp-A_J_70,41728.95072892517
PARp-A_J_80,42218.29535193122
PARp-A_w_2,43236.97982697422
PARp-A_w_4,41689.63162439491
PARp-A_w_11,35970.62803836817
SeasonalNaive,27011.183062499993
SARIMA,28738.01146511436
StructuralModel,29757.202586297608
ScoreDrivenModel,27807.49453578858
MonthlyMedian,36669.2581875
