model,statistics
NW_PARp,56473.30000000001
NW_PARp-A,44435.619999999995
PARp-A_J_20,33561.9802536949
PARp-A_J_30,25786.44000389277
PARp-A_J_40,33111.02425824953
PARp-A_J_50,35474.82072232268
PARp-A_J_60,37261.876315077025
PARp-A_J_70,38560.799528194475
PARp-A_J_80,40233.24117083106
PARp-A_w_2,43520.21027942291
PARp-A_w_4,38990.02223992856
PARp-A_w_11,37055.41860743494
SeasonalNaive,22171.520000000004
SARIMA,29470.883717403514
StructuralModel,23772.142342695763
ScoreDrivenModel,22855.991421967417
MonthlyMedian,37557.52
