model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,-73.65808863066991,-124.63729523212135,-232.95289311154693,-260.7128357509389,-261.7848826633053,-129.4697810685302,-9.096312523289498,150.4984696430315,382.0514780826594,394.83759514549877,431.8150169851683,502.0462874016141,490.88420274041675,583.9831515173371,645.042528338796,681.9337976697544,654.9351182168858,603.3759431404203,554.2175874192612,642.5260598535184,728.491512912927,817.3515675922049,789.8047013433384,705.0895971003938
NW_PARp,mean,317.5893000000003,508.12017682926864,543.3189386503067,581.3362592592592,620.3456614906831,773.4024406250003,913.340254716981,1085.1231898734177,1326.4944076433126,1347.4142756410256,1395.5551645161293,1473.4629058441558,1469.1973954248374,1565.522167763158,1634.7451357615896,1681.9017666666664,1660.4872651006706,1612.581331081081,1570.2952755102046,1665.4513835616438,1758.4889551724148,1853.9009270833324,1832.8448636363653,1754.0591901408447
NW_PARp,IC_UB,708.8366886306706,1140.8776488906587,1319.5907704121603,1423.3853542694574,1502.4762056446716,1676.2746623185308,1835.7768219572515,2019.7479101038039,2270.937337203966,2299.9909561365525,2359.29531204709,2444.8795242866972,2447.510588109258,2547.0611840089787,2624.4477431843834,2681.8697356635785,2666.0394119844555,2621.786719021742,2586.372963601148,2688.376707269769,2788.4863974319023,2890.45028657446,2875.885025929392,2803.0287831812957
NW_PARp-A,IC_LB,-33.647728478638555,-84.68645396066006,-212.76902188731697,-247.54271782267517,-230.35593569666082,-74.4287030496505,46.140998347010964,163.65031814296162,343.69868271542396,315.8161442273429,338.4743102073345,394.0223024791791,379.78125066941413,478.508654183502,541.7486173621768,578.8205004031608,555.0260244855044,511.8008253578122,477.2913291791659,573.5184301503934,666.6889041589711,758.3926190005598,735.3825569320045,654.2529204536031
NW_PARp-A,mean,353.30398787878806,545.3152408536591,570.4312331288342,604.896086419753,654.3625683229817,824.4161718750005,961.3301006289314,1088.9346740506335,1280.2990668789814,1262.419323717949,1296.3578870967735,1363.6875941558437,1362.3888921568628,1466.907733552632,1538.9310860927148,1586.3679599999991,1568.1779832214766,1527.762408783785,1498.5201666666665,1601.4082020547942,1701.6341206896554,1800.8423437500014,1785.0577342657352,1710.8692218309864
NW_PARp-A,IC_UB,740.2557042362147,1175.3169356679782,1353.6314881449853,1457.3348906621814,1539.0810723426243,1723.2610467996515,1876.5192029108518,2014.2190299583053,2216.899451042539,2209.0225032085555,2254.2414639862127,2333.3528858325085,2344.9965336443115,2455.306812921762,2536.113554823253,2593.9154195968376,2581.3299419574487,2543.723992209758,2519.749004154167,2629.2979739591947,2736.5793372203398,2843.2920684994433,2834.732911599466,2767.4855232083696
PARp-A_J_20,IC_LB,91.12516407681176,195.65781984201533,122.9923576621984,-55.41780374917323,-287.35086002622086,-463.45673753844676,-473.5628731196531,-401.0369201200856,-403.31518350343003,-390.9886365294617,-276.5323885271306,-86.02137248074132,-2.2833096706638116,44.10669168481718,39.14261423481139,-27.146216578041276,-183.4027757294034,-224.26205906782184,-145.82780615128775,-112.20323817827364,-81.07083968778352,-40.732148346223994,23.572456914011582,43.25152011776322
PARp-A_J_20,mean,586.1533572911937,873.6247921539059,938.9469799163309,870.0564149791375,720.1882179315048,636.5708969092611,665.8856070556111,699.9106544460406,675.4965995063567,686.2683435208314,837.3874104441194,1052.113716585036,1163.3666573304877,1171.6296305050084,1129.4386356416585,1025.0772947105834,847.2622190426271,795.9506704324401,900.3458552321009,974.7994116712113,1038.7358657496557,1096.815646608262,1180.0023586945845,1213.3319591193062
PARp-A_J_20,IC_UB,1081.1815505055756,1551.5917644657966,1754.9016021704633,1795.530633707448,1727.7272958892304,1736.598531356969,1805.3340872308754,1800.8582290121667,1754.3083825161434,1763.5253235711245,1951.3072094153695,2190.248805650813,2329.016624331639,2299.1525693251997,2219.7346570485056,2077.300805999208,1877.9272138146575,1816.163399932702,1946.5195166154895,2061.802061520696,2158.542571187095,2234.3634415627484,2336.4322604751574,2383.4123981208495
PARp-A_J_30,IC_LB,-185.9488424670523,-95.53099992467162,-164.81853330518152,-96.12006360208568,-8.409702932513369,18.045670335666273,169.43107791462603,182.06820068264574,201.7806183646146,194.07474626449925,134.554690242094,165.1177545364328,303.40972740022266,335.88033540145284,372.71484527261737,387.3423747067184,376.7261245616837,336.4430882676852,348.20815610478894,277.249780584742,250.3608537167279,235.7752978294336,242.54545596480398,220.3330986185672
