model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,-108.32137745104347,-175.00011614813678,-296.61029352954824,-329.23001029904174,-332.8508366022521,-200.15716712211122,-80.15574079179748,81.48646150207367,316.05018330840426,329.0943140509694,365.6292995599845,434.27657099442786,421.5513569162065,515.8907536852217,576.6567464087536,613.4668736454884,584.9819903961171,531.4462875505913,481.21886189106067,570.7214096725099,657.7370172242413,746.8406873501085,717.6895817680227,631.140593101748
NW_PARp,mean,288.18414062500017,467.73095283018876,490.31475316455703,524.1044585987264,560.8056185897437,715.0239612903226,855.1381006493509,1029.8794673202617,1275.4329375,1296.7644900662253,1344.6200099999999,1420.6111040268459,1414.6435979729729,1513.0337142857143,1582.5765171232879,1630.454782758621,1607.6316631944449,1557.6219230769234,1514.793169014085,1612.2122765957452,1707.1761785714293,1803.6008525179855,1780.990481884058,1700.4744708029195
NW_PARp,IC_UB,684.6896587010438,1110.4620218085142,1277.2397998586623,1377.4389274964947,1454.4620737817395,1630.2050897027566,1790.4319420904994,1978.2724731384496,2234.815691691596,2264.4346660814813,2323.610720440015,2406.945637059264,2407.7358390297395,2510.176674886207,2588.496287837822,2647.4426918717536,2630.2813359927727,2583.7975586032553,2548.3674761371094,2653.70314351898,2756.6153399186173,2860.3610176858624,2844.291382000093,2769.808348504091
NW_PARp-A,IC_LB,-64.841441008721,-130.07199242373946,-272.22021419154123,-312.64309961335755,-296.9605581408862,-139.86914517320918,-19.87491910205256,98.03224757331293,278.54887366274227,249.20627443299418,270.7953378369484,325.1891735409813,309.1091046271638,408.4562282839047,471.12177045316844,507.8782576515714,482.4388764275586,437.6380419337288,402.68459913571724,500.2955252435479,595.0521984588938,687.5725671578277,663.2779591407916,579.6981430506294
NW_PARp-A,mean,327.95753750000017,510.61256603773603,522.2304715189872,551.343678343949,600.0135384615387,772.0031548387099,908.6462889610391,1036.6718823529413,1228.8497861842109,1209.1530298013245,1242.0765933333334,1308.4021073825506,1305.4090270270276,1411.2310714285716,1483.5811575342466,1531.403293103449,1511.5340416666668,1469.5951048951051,1440.5938133802815,1545.9477517730497,1648.7720607142858,1749.524561151079,1732.6250833333338,1655.8660510948905
NW_PARp-A,IC_UB,720.7565160087213,1151.2971244992116,1316.6811572295155,1415.3304563012557,1496.9876350639636,1683.875454850629,1837.1674970241306,1975.3115171325699,2179.1506987056796,2169.0997851696548,2213.3578488297185,2291.61504122412,2301.708949426891,2414.0059145732384,2496.0405446153245,2554.9283285553265,2540.629206905775,2501.5521678564814,2478.503027624846,2591.599978302552,2702.491922969678,2811.4765551443306,2801.972207525876,2732.0339591391516
PARp-A_J_20,IC_LB,-175.7325034974598,-44.492717375111624,-64.72381282642493,-139.1992259886888,-316.2969405876755,-434.76468125822066,-455.98117375353365,-601.3627911986486,-626.6377402624711,-569.630239204657,-469.1268282086992,-288.1374094265217,-238.4895168445612,-151.41945494325068,-76.34206628458469,-156.35707404643142,-298.9545422831578,-433.18590179081934,-390.20623032788603,-282.8585886665322,-214.01964830226916,-191.30357305653592,-218.98142978100543,-231.43003768718222
PARp-A_J_20,mean,417.8186394019575,793.5811672073588,989.4269532434977,1008.4798432926009,926.4418769431871,922.681021028591,926.6026904950544,703.77295417231,629.2212983517308,671.9684258008627,785.0997225050876,966.5174516018352,1059.7531834669524,1086.4938676687254,1095.9250771928992,928.9616775518249,753.3408466158081,608.1574073262464,665.1525518217422,813.9233386523744,912.0150948111091,945.5434758644624,944.6644520683664,950.8339821407126
PARp-A_J_20,IC_UB,1011.3697823013748,1631.6550517898293,2043.5777193134204,2156.1589125738906,2169.1806944740497,2280.1267233154026,2309.1865547436423,2008.9086995432685,1885.0803369659325,1913.5670908063826,2039.3262732188743,2221.172312630192,2357.995883778466,2324.407190280702,2268.192220670383,2014.280429150081,1805.636235514774,1649.500716443312,1720.5113339713705,1910.7052659712808,2038.0498379244873,2082.390524785461,2108.3103339177383,2133.0980019686076
PARp-A_J_30,IC_LB,-232.9921738747481,-143.8104496634037,-238.87896789690978,-163.4649447614421,-70.00229740039902,-55.368439705403716,98.81129420350658,125.62450784659404,148.27541992631268,137.20071134791306,74.47967541305707,103.7781192968514,241.7522170851903,271.0961208167214,307.48332476444534,325.07945670822323,313.388709301154,274.4238689023409,285.30087419924394,212.6261463752121,184.83429381061342,170.00522653247663,179.65512492086214,159.35782640035245
