model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,median,147.1702499999999,301.6779999999999,403.7672499999999,562.7999999999993,619.9415000000008,672.0930000000008,777.529,853.5929999999998,858.9930000000002,820.4434999999999,811.5117499999992,863.4985000000015,895.2047500000001,924.9625000000015,1002.3662500000003,1015.9854999999998,1011.6367499999999,1018.7915000000003,979.39825,1009.8780000000002,1021.0949999999998,1046.741,1056.5605,1051.4360000000006
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,median,152.79700000000037,367.442,367.12925000000007,553.9110000000001,553.7747499999999,673.0815,693.50025,814.0764999999992,848.669250000001,795.6700000000001,814.9490000000003,854.8865000000001,833.4037500000004,830.6620000000003,891.2612499999998,955.5165000000006,947.2764999999999,954.6044999999976,909.8589999999999,948.6465000000003,979.6289999999988,1014.5335,1010.7955,1012.4594999999999
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,median,139.2355793439483,222.32880850111405,281.09626566474276,229.17792282065102,364.77715369497946,429.2126368526833,541.1580947183069,612.3048388655043,621.9539902532796,570.8405554718629,530.5024082690743,453.37035591652193,441.2713005850021,595.5397714406754,541.0304838076681,541.4466598525232,397.8954882773794,365.3249516069218,386.22689316589526,452.88984202158736,511.02862575440304,483.18220141869097,540.7751313773562,421.02988678792144
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
