model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.030461486514859804,0.06506409637444029,0.0896477343965188,0.11661055490041468,0.13798460316491068,0.16239621313968322,0.1791342293610874,0.19076082799108465,0.20635326962429254,0.19986665899651174,0.201325499714619,0.20954198551681574,0.21022737295558858,0.2194999878455081,0.22788770901737115,0.23486084698493942,0.23656043029557325,0.23525318881959378,0.23122602657424132,0.23961751398076248,0.2458865035186249,0.2529842898500171,0.24945249700940406,0.24238820492971988
NW_PARp,mean,0.07702252130148719,0.14265903814335723,0.18565009605562496,0.22107026404647304,0.2507101865728696,0.2840691021366786,0.30870525271131877,0.3247634374756718,0.34483119609952134,0.3402346903239604,0.3441933209564351,0.3546604281435107,0.3561579483714293,0.3668597294367789,0.37644046931143127,0.38512197011493005,0.3879271970621982,0.38789476546128243,0.3847887258762063,0.39525742989546725,0.4035716469199811,0.4124362640465177,0.4095097070540834,0.40232255297810676
NW_PARp,IC_UB,0.12358355608811458,0.2202539799122742,0.28165245771473113,0.3255299731925314,0.3634357699808285,0.40574199113367393,0.4382762760615502,0.458766046960259,0.4833091225747501,0.4806027216514091,0.48706114219825125,0.4997788707702056,0.50208852378727,0.5142194710280498,0.5249932296054913,0.5353830932449206,0.5392939638288231,0.5405363421029711,0.5383514251781713,0.550897345810172,0.5612567903213372,0.5718882382430183,0.5695669170987627,0.5622569010264936
NW_PARp-A,IC_LB,0.0328532170466188,0.06587813413030724,0.0870384314445524,0.10854955186512492,0.12664471569017988,0.15041210196912408,0.1663273353505046,0.1750712812346212,0.1886550950888444,0.18052807718101765,0.18100246496196631,0.18668998244438895,0.18656533328028693,0.19781471363711298,0.20851948616462973,0.21794931665811135,0.22190252465974444,0.22257382635310313,0.22009809253223217,0.22940849396962615,0.23618358487276475,0.24369358788717677,0.2404978952944824,0.23356121193687399
NW_PARp-A,mean,0.07842938454370266,0.1417425457056878,0.18057481535053987,0.209980714421317,0.23403732412580705,0.2649665042671989,0.287368471040901,0.3009940114646882,0.32054711667832186,0.31569891518669063,0.3201980875819428,0.32921737166317616,0.33043008898893583,0.3434827102702743,0.3556076474603777,0.3669890434417387,0.3724816994544634,0.3750516936865393,0.37416247089514454,0.38613360199153074,0.3951892629677706,0.4044789527422602,0.4016057346831991,0.3941641581910762
NW_PARp-A,IC_UB,0.1240055520407865,0.21760695728106838,0.2741111992565274,0.31141187697750905,0.3414299325614342,0.37952090656527376,0.40840960673129745,0.42691674169475513,0.45243913826779936,0.4508697531923636,0.45939371020191927,0.4717447608819634,0.47429484469758476,0.48915070690343565,0.5026958087561257,0.5160287702253661,0.5230608742491824,0.5275295610199755,0.5282268492580569,0.5428587100134353,0.5541949410627764,0.5652643175973436,0.5627135740719158,0.5547671044452784
PARp-A_J_20,IC_LB,0.023583744638701568,0.055557021816094815,0.06434615618675853,0.07259903519163931,0.083408454981944,0.08941168031750371,0.09880259836422603,0.11241580857020719,0.11486210512025252,0.11275240720438445,0.11448688248602465,0.12025017994577894,0.12106573647712726,0.1174458161162028,0.1150186004730202,0.11456202361317827,0.11368361662089674,0.11464512319531367,0.1218145320307352,0.12420916411481983,0.12514974523289202,0.12746232385194295,0.13184257263727833,0.131713306709833
PARp-A_J_20,mean,0.08322235482563475,0.13432796299296468,0.15945428227463537,0.18038913634759768,0.19871799112073912,0.21820975324947103,0.2440300522699441,0.2582454765227358,0.2544084597932471,0.2496208533799719,0.2574535992728801,0.2693932722310031,0.2771375618401316,0.2721373500512756,0.26630982170132456,0.26308555641092174,0.26352875884521565,0.2667648420957495,0.2782239435860878,0.2832036758041564,0.2850755635999603,0.28874038377293326,0.2951682041911069,0.2922738541967678
PARp-A_J_20,IC_UB,0.14286096501256795,0.21309890416983454,0.2545624083625122,0.28817923750355606,0.31402752725953426,0.34700782618143833,0.3892575061756621,0.4040751444752644,0.3939548144662417,0.38648929955555933,0.4004203160597355,0.41853636451622733,0.43320938720313595,0.4268288839863484,0.4176010429296289,0.41160908920866524,0.41337390106953453,0.4188845609961854,0.4346333551414404,0.44219818749349293,0.44500138196702854,0.4500184436939236,0.45849383574493546,0.45283440168370265
PARp-A_J_30,IC_LB,0.0202558411331902,0.06441723943464525,0.08582624488959323,0.10777617963439212,0.12874634666207235,0.13922879741777966,0.15375786599893349,0.1577360802305624,0.15881234183095216,0.15686311343054335,0.15201808623240015,0.15545297949955286,0.17264278880741188,0.17759787066576022,0.1822005416071029,0.1843607184066775,0.18450651758300843,0.18239421740355563,0.1826925757120032,0.1780027038142006,0.1765102907402199,0.17556503691818612,0.17630494858001586,0.17441391909747606
