model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.026067618995342295,0.05742039792314299,0.07885631489416747,0.10429584327746198,0.12519582796730147,0.1493974288968034,0.16549582360928228,0.17689453490483875,0.19212769419658135,0.18539498729325915,0.18649024057210975,0.19431144473493306,0.19467000057714598,0.20365193323693753,0.21159558872146542,0.21835384677036868,0.21988969469615752,0.21835703383244182,0.21425547777271875,0.22254105977687386,0.22872973791305112,0.23552512058060185,0.2317634791718654,0.2245308594723455
NW_PARp,mean,0.07264675081948996,0.1350539127837558,0.1743232007681457,0.20807891108621995,0.23762054174610178,0.27117032146030473,0.29525632369015137,0.3111502382099386,0.3309275746103025,0.32612275395929774,0.3297644117651752,0.3398599990281285,0.34098338828574265,0.35140595838456995,0.3604737927576648,0.36900582450351704,0.3717073249235402,0.3715262380280447,0.3684569644981944,0.3789785535021638,0.3873698811293436,0.39599057273820915,0.3928662104605899,0.38553635769142003
NW_PARp,IC_UB,0.11922588264363762,0.21268742764436863,0.2697900866421239,0.3118619788949779,0.35004525552490207,0.39294321402380605,0.42501682377102046,0.44540594151503843,0.4697274550240236,0.46685052062533633,0.47303858295824064,0.485408553321324,0.4872967759943393,0.49915998353220237,0.5093519967938641,0.5196578022366654,0.5235249551509229,0.5246954422236476,0.52265845122367,0.5354160472274537,0.5460100243456361,0.5564560248958165,0.5539689417493143,0.5465418559104945
NW_PARp-A,IC_LB,0.02884943810858743,0.05889494237933704,0.07753522952653412,0.09791894300333422,0.11594260432485964,0.13962282047733676,0.1547665968536009,0.1629203587831526,0.17567835113820365,0.16686787780986864,0.16668233002552826,0.17175288088664042,0.1711478198201095,0.18189983051419273,0.19198973884854556,0.20116575187562752,0.20495438005964944,0.20546664845281254,0.20298954519302007,0.21217696260609306,0.21902901989744084,0.22635484427864247,0.223021882936605,0.21578587170561106
NW_PARp-A,mean,0.07466346030436921,0.1351736733466773,0.1711828526560806,0.19940417610154126,0.22372206815343035,0.2547839745604286,0.2762734856848868,0.28916564756621654,0.3077778379100782,0.3021332696730675,0.3059824347234529,0.3144201885699705,0.3151222574627209,0.32762069799845556,0.3390300098286412,0.3502210434110903,0.35561123466929917,0.3581391792501664,0.3574223313133528,0.36945214354010775,0.37884836017476,0.3880703758855203,0.3851468635111421,0.37740918403396456
NW_PARp-A,IC_UB,0.120477482500151,0.21145240431401754,0.2648304757856271,0.3008894091997483,0.33150153198200105,0.36994512864352047,0.3977803745161727,0.4154109363492805,0.43987732468195273,0.4373986615362663,0.4452825394213775,0.4570874962533006,0.45909669510533224,0.4733415654827184,0.4860702808087368,0.49927633494655305,0.5062680892789488,0.5108117100475202,0.5118551174336856,0.5267273244741224,0.5386677004520791,0.5497859074923981,0.5472718440856792,0.5390324963623181
PARp-A_J_20,IC_LB,0.00686587144141225,0.04453620437365033,0.054522029455312454,0.059665778331042085,0.06939420038527641,0.08299324507152017,0.09277992822415318,0.09760911870560623,0.09783437050922522,0.09887939367343393,0.09979349708246868,0.10589522830750966,0.10736921140772601,0.10071324339837395,0.10020094957741116,0.09669428409973327,0.09840624389613592,0.09133017503658916,0.09534165724519839,0.10118795140954359,0.10214139439197972,0.10090104402513678,0.097990194163526,0.09307009126922267
PARp-A_J_20,mean,0.0815164146037469,0.15229769232078977,0.19034107794444402,0.20850702875835572,0.22863488345161434,0.25106536603005397,0.2730525680079359,0.27477979385401147,0.26666841991231544,0.266186680337319,0.26930300147484076,0.2790528143588495,0.28434305257735915,0.27327213126468775,0.2656326250458974,0.25502747817944216,0.253628288169936,0.243609378888117,0.24774911328809843,0.25455858845432855,0.25570614279352993,0.25431456776576405,0.25366148247654585,0.2503590706246836
PARp-A_J_20,IC_UB,0.15616695776608153,0.2600591802679292,0.3261601264335756,0.35734827918566936,0.3878755665179523,0.41913748698858777,0.4533252077917187,0.4519504690024167,0.43550246931540565,0.43349396700120413,0.4388125058672129,0.45221040041018934,0.46131689374699225,0.44583101913100154,0.43106430051438366,0.4133606722591511,0.40885033244373603,0.3958885827396449,0.40015656933099847,0.4079292254991135,0.40927089119508014,0.40772809150639133,0.4093327707895657,0.40764804998014453
PARp-A_J_30,IC_LB,0.015109163989834778,0.056455899159696024,0.07489617221588776,0.096681038186508,0.11773304211200442,0.127930547802219,0.14184492297373072,0.1470812399023892,0.14841269090293943,0.145577041664455,0.1404211738047678,0.14355521608418398,0.15981344911510947,0.16376507408104202,0.1677722964404505,0.16994484307310226,0.16995911457103438,0.16802946325377704,0.1685538468339064,0.1640237637201921,0.16278335509049488,0.1621710391309383,0.16278594858251438,0.1612915274105022
PARp-A_J_30,mean,0.0661653212023144,0.13654937609532358,0.17735957873245042,0.2136258243481947,0.2457577935568297,0.2673604908312264,0.28726057072868366,0.2925908149246875,0.29662482463573464,0.2977514254356542,0.29486604717105186,0.29863980562300435,0.3174263292556558,0.3194330197510355,0.32189717964086534,0.3232163574891633,0.32350591030682696,0.32281264785709096,0.3244116186483589,0.3203610789729606,0.3195970736711999,0.31950067412477473,0.32128830318339935,0.3206717970603667
PARp-A_J_30,IC_UB,0.11722147841479402,0.21664285303095115,0.27982298524901306,0.33057061050988135,0.373782545001655,0.40679043386023384,0.4326762184836366,0.43810038994698586,0.4448369583685299,0.4499258092068534,0.4493109205373359,0.4537243951618247,0.4750392093962021,0.475100965421029,0.4760220628412802,0.4764878719052243,0.4770527060426195,0.4775958324604049,0.48026939046281136,0.4766983942257291,0.47641079225190486,0.47683030911861113,0.4797906577842843,0.48005206671023115
PARp-A_J_40,IC_LB,0.02610231402268199,0.06431351541520507,0.08519143824752601,0.10281908826183363,0.12401012097120151,0.1470248540695914,0.1656599744040913,0.17214022226296985,0.17840668966954323,0.17865327617696197,0.17709863728556208,0.18191968567893083,0.19274376822953598,0.19487919144494262,0.20082619763101725,0.20611071228677041,0.2097817922078934,0.21086504978609297,0.21361900613877366,0.21101315934231454,0.21076696335358747,0.2101618830588729,0.21197547496483424,0.21075282087434885
PARp-A_J_40,mean,0.07615754678619384,0.15186060186597358,0.19275665911594525,0.2244079445275008,0.25692915775986597,0.28993610336299125,0.3127462417169959,0.3198108921180099,0.3282917443045823,0.3308632922907377,0.33010613513590586,0.33589437250092763,0.3500491391560439,0.35184394851290346,0.3575172169703311,0.36328426091039073,0.3673354620962195,0.3692284015741627,0.3725177277624582,0.3697751719121325,0.3702180837837986,0.3704947722918257,0.37387652773110847,0.37284944392002156
