model,statistics
NW_PARp,28336.368175757576
NW_PARp-A,27452.241106060592
PARp-A_J_20,20132.59140263971
PARp-A_J_30,26001.413713158818
PARp-A_J_40,31898.491721327748
PARp-A_J_50,25480.848647945615
PARp-A_J_60,26433.186480941968
PARp-A_J_70,25917.985341874763
PARp-A_J_80,27394.506653791697
PARp-A_w_2,28477.845032309386
PARp-A_w_4,27736.596347059367
PARp-A_w_11,25451.17096752556
SeasonalNaive,9108.310787878792
SARIMA,18282.62439294092
StructuralModel,60792.59916556699
ScoreDrivenModel,63655.63390831311
MonthlyMedian,10169.202787878809
