model,statistics
NW_PARp,27095.093646875
NW_PARp-A,26217.50800625
PARp-A_J_20,19000.976890241956
PARp-A_J_30,25075.321420042754
PARp-A_J_40,30911.480318691534
PARp-A_J_50,24139.620146102876
PARp-A_J_60,25262.58850629711
PARp-A_J_70,24688.03477657711
PARp-A_J_80,26143.5894016681
PARp-A_w_2,27251.98941590471
PARp-A_w_4,26486.27005448407
PARp-A_w_11,24144.315139795195
SeasonalNaive,8011.570000000005
SARIMA,17445.37607912976
StructuralModel,60163.917578546054
ScoreDrivenModel,66328.58430304911
MonthlyMedian,9003.113124999998
