model,statistics
NW_PARp,23663.878250000053
NW_PARp-A,22760.52150000012
PARp-A_J_20,16079.329475523526
PARp-A_J_30,20171.246919794445
PARp-A_J_40,26186.37234198657
PARp-A_J_50,18289.762676811748
PARp-A_J_60,21759.00810898951
PARp-A_J_70,21247.225982371703
PARp-A_J_80,22597.7060221633
PARp-A_w_2,24119.105010447995
PARp-A_w_4,22764.89023697318
PARp-A_w_11,18502.815485253202
SeasonalNaive,-7531.860000000015
SARIMA,7143.867373468995
StructuralModel,45932.79893311858
ScoreDrivenModel,48737.52294469168
MonthlyMedian,7431.455000000031
