model,statistics
NW_PARp,0.16076788274414502
NW_PARp-A,0.15685481237316995
PARp-A_J_20,0.12620431953042466
PARp-A_J_30,0.1496959503082205
PARp-A_J_40,0.17480196105673018
PARp-A_J_50,0.1513275657013215
PARp-A_J_60,0.1530263501798072
PARp-A_J_70,0.15031916443470292
PARp-A_J_80,0.1574174873594779
PARp-A_w_2,0.16073826443853578
PARp-A_w_4,0.1576302369506552
PARp-A_w_11,0.1476323343278232
SeasonalNaive,0.09437894219289944
SARIMA,0.11957934588885119
StructuralModel,0.2593221168265064
ScoreDrivenModel,0.2765574354296861
MonthlyMedian,0.10763336947984219
