model,statistics
NW_PARp,0.14729789381255426
NW_PARp-A,0.14491507768743933
PARp-A_J_20,0.1237176685198444
PARp-A_J_30,0.1368477071969908
PARp-A_J_40,0.16395092746312337
PARp-A_J_50,0.13819597689962054
PARp-A_J_60,0.14245788129346026
PARp-A_J_70,0.1396370853031415
PARp-A_J_80,0.14499392177367817
PARp-A_w_2,0.14844972877867119
PARp-A_w_4,0.1454129587902439
PARp-A_w_11,0.13637615295553418
SeasonalNaive,0.08620246812089084
SARIMA,0.11601018117301583
StructuralModel,0.2527529221617192
ScoreDrivenModel,0.30180705569877986
MonthlyMedian,0.09095779676404761
