model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,mean,1092.6520313045462,1508.6240516493906,1709.524895407976,1787.4028809135805,1818.5550934332289,1833.8857664046882,1865.9210187311328,1890.9905609430373,1937.2779614585986,1933.845375769231,1954.3820707983864,1975.3279228490255,1980.2116747369275,1972.059724699012,1974.1354076142388,1982.3700923366662,1984.4849108036908,1967.8930970371628,1960.0721724983,1993.9413735547944,2026.9446506465513,2063.3202806059026,2069.0454696311185,2057.395819767606
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,mean,1096.8789196575758,1515.2413025807937,1734.0946269294475,1801.6667608672833,1824.8314038059002,1832.7799821515623,1856.389015251572,1863.987345694619,1907.6804141894906,1904.973401629807,1921.5415176274196,1937.3100468230512,1949.7462679003265,1948.9413836036188,1949.31565879139,1957.5346975166672,1963.4969640385912,1950.3704927550673,1944.2568593248297,1981.2456194880126,2015.2224677948273,2050.890472133681,2059.3163600314697,2050.1250981848593
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,mean,1674.3316656177515,2046.0389664284492,2113.306037586341,2146.806044338331,2188.832450328543,2237.9074951067914,2269.9312441069483,2183.150210144626,2079.3077755429586,2022.89524793101,2041.6953566064258,2074.703407007002,2143.054181757412,2069.931057642143,1996.7937197071822,1956.4644096759416,1925.609273497663,1889.8856066460469,1921.2709299152216,1973.7036568989045,2019.184958890405,2043.8362436930506,2079.0951012590494,2091.496221533867
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,mean,1344.7342126744152,1625.5891306797628,1819.9003037687244,1849.297785681026,1929.5042722959545,2024.5395836041548,2075.6491579651465,2062.228394153183,2058.9742347289966,2053.690431273587,2035.0253967765154,2038.9855466799563,2060.1821619257807,2028.793544525299,2010.7403465982975,1998.8820815062275,1981.568891190099,1955.0783866668628,1969.8843798518722,1967.719843540311,1982.9391242560978,1997.2046117011332,2020.1718502796123,2025.4868039788455
PARp-A_J_30,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
