model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,mean,1107.5733554328121,1524.213402746855,1722.4556635981014,1799.6363826019106,1829.1810158958333,1842.6666754064518,1872.2743617483766,1896.6305214918295,1942.090519452302,1938.5341578112582,1958.0899464450001,1975.904368478188,1980.498850961149,1971.0768717244896,1971.6897412962328,1979.608118922414,1981.6657146684026,1964.5831111363636,1957.1522496408445,1992.2581420212766,2025.2861003000007,2061.468169005395,2067.4585298822462,2056.187571983576
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,mean,1114.0179770093753,1534.4669348396226,1751.0736915996833,1816.897684367834,1839.36855013141,1845.1343565193542,1865.9746478295458,1871.7356647450977,1912.6931039161182,1908.9461168493376,1924.0571654866667,1937.259895758389,1949.6555702668918,1946.968602215986,1945.9564237089044,1953.5420783224133,1959.3035781145825,1945.9595639965028,1940.6797046919012,1979.18217916312,2013.5494712374996,2049.0702133812956,2058.1268222771737,2048.5918259635037
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,mean,1803.940083608238,2045.7408158716262,2176.061528664458,2322.0732514830743,2459.246529279587,2649.582313701771,2765.1035203398305,2551.855519411119,2348.3781179643265,2281.74923246628,2242.401593367268,2244.6834262438683,2325.2891026532575,2215.0362419115904,2100.9891125767917,2023.7765552261787,2021.9892058070736,1937.9186288354217,1949.1079841431454,2011.4879480799352,2031.7785605164506,2018.33317132858,2040.882620940047,2065.241731017727
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
