model,statistics
NW_PARp,27495.78198336062
NW_PARp-A,27454.887352916674
PARp-A_J_20,31075.72269007378
PARp-A_J_30,29396.52870503993
PARp-A_J_40,30971.570750169314
PARp-A_J_50,27924.031777282395
PARp-A_J_60,28215.23738380013
PARp-A_J_70,26947.285172898708
PARp-A_J_80,27722.094801096307
PARp-A_w_2,27750.64148029331
PARp-A_w_4,27352.059394446525
PARp-A_w_11,26716.830479665612
SeasonalNaive,51301.654303030264
SARIMA,34467.88584051937
StructuralModel,53644.190375742226
ScoreDrivenModel,47268.84390370723
MonthlyMedian,43692.19624242422
