model,statistics
NW_PARp,26924.283548720305
NW_PARp-A,26890.48086882814
PARp-A_J_20,32955.45539207227
PARp-A_J_30,29427.024229293584
PARp-A_J_40,30761.355534327053
PARp-A_J_50,27424.334113569592
PARp-A_J_60,27766.13159779568
PARp-A_J_70,26438.456449478184
PARp-A_J_80,27221.165915444853
PARp-A_w_2,27211.950869091397
PARp-A_w_4,26800.761458992027
PARp-A_w_11,26148.43246138169
SeasonalNaive,51523.4555
SARIMA,34797.93274090884
StructuralModel,54090.1983378548
ScoreDrivenModel,48934.85827318755
MonthlyMedian,43573.700124999996
