model,statistics
NW_PARp,16143.637626249994
NW_PARp-A,16020.693025
PARp-A_J_20,18555.951102488078
PARp-A_J_30,17314.895265603074
PARp-A_J_40,17837.52377882608
PARp-A_J_50,16338.495882153791
PARp-A_J_60,16839.92723985427
PARp-A_J_70,16323.112037051593
PARp-A_J_80,17327.529664449397
PARp-A_w_2,16465.993671469907
PARp-A_w_4,16073.098209386677
PARp-A_w_11,15675.765217598258
SeasonalNaive,42757.96499999998
SARIMA,26332.185400200506
StructuralModel,48172.49379148445
ScoreDrivenModel,32852.47789746817
MonthlyMedian,29021.915000000023
