model,statistics
NW_PARp,35554.47490909089
NW_PARp-A,35408.936
PARp-A_J_20,39287.407947780644
PARp-A_J_30,38222.23199956782
PARp-A_J_40,40259.18064325656
PARp-A_J_50,36436.649087141246
PARp-A_J_60,36782.03339141667
PARp-A_J_70,35374.560921746204
PARp-A_J_80,36700.258967873815
PARp-A_w_2,36836.83381190432
PARp-A_w_4,35974.27007025116
PARp-A_w_11,34218.59393357291
SeasonalNaive,51301.654303030264
SARIMA,47418.47930460451
StructuralModel,64349.19762794036
ScoreDrivenModel,55195.617915042094
MonthlyMedian,43692.19624242422
