model,statistics
NW_PARp,34656.38124999999
NW_PARp-A,34537.687999999995
PARp-A_J_20,41867.63436063884
PARp-A_J_30,38000.19468553105
PARp-A_J_40,39823.05872363138
PARp-A_J_50,35527.54697438081
PARp-A_J_60,36029.31392386676
PARp-A_J_70,34543.742375401125
PARp-A_J_80,35836.971335116
PARp-A_w_2,35960.7500647041
PARp-A_w_4,35070.151320830395
PARp-A_w_11,33273.583668038606
SeasonalNaive,51523.4555
SARIMA,47929.5899854231
StructuralModel,65079.69338301402
ScoreDrivenModel,57495.88715922429
MonthlyMedian,43573.700124999996
