model,statistics
NW_PARp,25392.934999999998
NW_PARp-A,23701.185000000027
PARp-A_J_20,29718.82181557006
PARp-A_J_30,27276.29704394689
PARp-A_J_40,28313.327928867846
PARp-A_J_50,24788.274120570364
PARp-A_J_60,26270.228832396606
PARp-A_J_70,23491.00348608088
PARp-A_J_80,26798.514386882816
PARp-A_w_2,25202.689888456443
PARp-A_w_4,23474.076309003576
PARp-A_w_11,21435.37629100852
SeasonalNaive,42757.96499999998
SARIMA,42947.128410334
StructuralModel,54922.30236066047
ScoreDrivenModel,40803.69263202725
MonthlyMedian,29021.915000000023
