model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,294.1631874524844,1065.7140898882942,1252.3672256978844,1766.3588018354624,1995.297116060453,2404.371246968294,2628.8887796611107,2964.0684839551495,3708.408934319509,3485.1523541644688,3680.9444330149418,3940.8526790602764,3802.008917082466,4136.253701175112,4326.698865009406,4279.2682618545805,4245.677651260588,4310.827631971808,4325.316215316018,4744.505456730974,4956.499515097034,5237.62602568765,5160.428681717674,4857.027385215861
NW_PARp,mean,1371.7324454545455,2426.3254512195117,2815.9666257668728,3334.627617283951,3595.737276397516,4058.6671125000003,4331.85778301887,4701.369648734179,5480.444649681527,5279.729528846155,5477.434912903228,5743.2529512987,5602.441140522876,5916.746088815789,6114.582162251653,6080.891143333333,6064.883026845641,6133.445405405407,6127.242034013607,6549.9205513698635,6770.647362068967,7062.879690972222,6996.0438111888125,6698.278788732394
NW_PARp,IC_UB,2449.3017034566064,3786.936812550729,4379.566025835861,4902.89643273244,5196.177436734579,5712.962978031706,6034.826786376629,6438.670813513208,7252.480365043545,7074.30670352784,7273.925392791514,7545.653223537124,7402.873363963286,7697.238476456467,7902.4654594939,7882.514024812086,7884.088402430694,7956.063178839006,7929.167852711195,8355.335646008753,8584.795209040898,8888.133356256794,8831.65894065995,8539.530192248927
NW_PARp-A,IC_LB,199.93659337110876,916.0713503227571,1041.974378357717,1548.6155354684856,1751.1912348254882,2168.3458767273455,2360.216384062076,2641.6900766236704,3324.7094216936475,3082.755967398671,3286.5457532198343,3570.0528113534438,3465.7616049263524,3840.776743156071,4069.384767661636,4054.9245533167527,4058.9400301032083,4155.508888657662,4197.85454687655,4652.349101453763,4901.854071833108,5230.48886523277,5194.308553304907,4927.413572690642
NW_PARp-A,mean,1283.6512818181818,2280.097179878049,2608.33081595092,3117.1608888888877,3359.567459627327,3834.264481249999,4073.016886792453,4389.269737341774,5111.806859872614,4894.172836538464,5102.068900000001,5393.851814935066,5287.335777777778,5644.105779605265,5875.912678807948,5869.997900000001,5883.397872483221,5982.772091216216,6004.4841394557825,6455.283537671232,6702.516896551722,7029.386503472221,6997.669276223778,6734.117609154931
NW_PARp-A,IC_UB,2367.365970265255,3644.1230094333405,4174.687253544123,4685.70624230929,4967.943684429166,5500.183085772653,5785.81738952283,6136.849398059878,6898.904298051581,6705.589705678258,6917.592046780168,7217.650818516688,7108.909950629204,7447.434816054458,7682.440589954261,7685.07124668325,7707.855714863234,7810.035293774769,7811.113732035015,8258.2179738887,8503.179721270337,8828.284141711672,8801.02999914265,8540.821645619222
PARp-A_J_20,IC_LB,1280.1091419928384,2150.5520932773948,2516.5749756109053,2787.9220017409866,3113.6013251692084,3349.284529140473,3505.6521217022473,3509.7339311320998,3483.296950407627,3573.8239081549254,3696.3835854023,3722.401172622572,4206.102267739479,4219.02739295363,4137.938220305344,4267.095456348895,4197.619626111726,4382.479895687627,4528.719420279466,4537.4608623084,4457.094576765475,4669.28503555117,4792.969708570731,4435.6723704433025
PARp-A_J_20,mean,2769.8001093666335,3988.9253767320392,4366.568000158706,4537.970288591887,4831.340160550569,5102.563811452387,5269.8208109171765,5287.386622940363,5200.166762702378,5270.303465490695,5405.361740702252,5484.610839038148,5969.406540205596,6023.102266565084,5944.58807925574,6066.474640868951,5988.0234656333005,6166.178443838687,6248.73085824006,6243.219102729085,6171.696833401837,6402.261329082536,6542.280300171244,6194.506454248435
PARp-A_J_20,IC_UB,4259.491076740429,5827.298660186683,6216.561024706507,6288.018575442788,6549.078995931929,6855.843093764302,7033.989500132106,7065.039314748627,6917.03657499713,6966.783022826465,7114.339896002204,7246.820505453723,7732.710812671712,7827.177140176539,7751.237938206136,7865.8538253890065,7778.427305154875,7949.876991989747,7968.742296200654,7948.97734314977,7886.299090038198,8135.237622613901,8291.590891771757,7953.340538053568
PARp-A_J_30,IC_LB,1450.042063040133,2499.8665905907706,3111.9229247380076,3814.6729710432646,4311.520118730771,4935.844689851829,4654.317869052023,4771.484164667092,4976.745392961778,4819.720889055285,5009.891332948119,4974.772854914749,5302.026874051644,5462.779980169544,5395.089931817449,5309.0741199861295,5376.80585859441,5504.3211877221365,5634.398003509966,5497.083272216055,5346.767919714352,5404.531658908361,5535.0548093806465,5470.07049096675
PARp-A_J_30,mean,2725.662627478765,4072.8475536495957,4867.891010658335,5512.282159841546,5982.611225928135,6635.228840472571,6369.721964700031,6518.9587570256945,6715.545177060196,6556.765142701626,6721.795328675016,6688.824999092057,7000.033726579648,7162.328670912259,7108.782051175071,7035.62208733457,7108.272972287618,7238.059434216521,7351.639367166052,7210.526948161063,7064.9496741115345,7133.17161823842,7279.208566497959,7220.115620222596
PARp-A_J_30,IC_UB,4001.283191917397,5645.828516708421,6623.8590965786625,7209.891348639827,7653.7023331254995,8334.612991093314,8085.12606034804,8266.433349384297,8454.344961158615,8293.809396347968,8433.699324401914,8402.877143269365,8698.040579107652,8861.877361654975,8822.474170532692,8762.17005468301,8839.740085980826,8971.797680710906,9068.880730822137,8923.97062410607,8783.131428508717,8861.811577568478,9023.36232361527,8970.16074947844
PARp-A_J_40,IC_LB,1277.4466007333162,2481.984715658652,3039.824916386824,3802.9483668738103,4324.141839208591,5127.937256460533,4948.4887815208485,5136.419238782145,5447.534372532696,5482.682817221325,5775.5561443689885,5991.206117351599,6221.720652490903,6374.742857630243,6344.352829180715,6297.1051666540425,6432.069655616253,6616.33795120947,6785.927502935887,6678.1738630640675,6572.73554269633,6725.01297089079,6946.725560372936,6874.825954481175
PARp-A_J_40,mean,2517.7387873272883,4011.878869229835,4731.431419961041,5430.894468099775,5947.795750285535,6786.593919149607,6629.002665673006,6845.410686169685,7168.977426934299,7215.726829243402,7507.517030939688,7736.117774563091,8000.495318862736,8146.523239331683,8127.228381676567,8091.8509983071945,8239.273634695188,8418.423657939718,8566.972573889605,8448.470989835268,8340.662594155168,8500.651444166584,8739.40341735461,8677.97514820268
PARp-A_J_40,IC_UB,3758.0309739212603,5541.773022801018,6423.0379235352575,7058.840569325739,7571.44966136248,8445.250581838682,8309.516549825163,8554.402133557225,8890.420481335903,8948.77084126548,9239.477917510389,9481.029431774583,9779.269985234569,9918.303621033123,9910.103934172417,9886.596829960346,10046.477613774123,10220.509364669966,10348.017644843323,10218.76811660647,10108.589645614005,10276.289917442378,10532.081274336284,10481.124341924186
PARp-A_J_50,IC_LB,266.7511082574656,1174.3196238293353,1618.382931680283,2326.6677980950803,2810.5202408359746,3542.5811568485924,3418.216783804996,3644.402336760083,3894.199304812697,3899.05229627447,4116.832433898375,4360.193961253725,4500.0088995222,4780.690958178311,4849.490799389484,4868.771175462851,5056.396027989318,5303.705946715316,5519.599303064417,5436.337334180487,5320.337040878605,5490.722938986052,5707.14633446276,5636.956580781012
PARp-A_J_50,mean,1367.8931838531917,2581.8294490584126,3263.4405784369796,3992.10452109221,4507.841419851783,5287.303923294085,5192.742866754929,5431.262697703503,5697.033163434068,5702.344351188673,5903.216632896885,6154.661006766561,6311.793085013095,6591.860610182671,6665.701480761605,6687.527057148338,6879.71466094741,7122.968375368912,7315.48761707046,7217.287054498616,7093.641257558379,7264.98477758371,7499.568083031084,7441.2426263032
PARp-A_J_50,IC_UB,2469.0352594489177,3989.33927428749,4908.498225193676,5657.54124408934,6205.162598867591,7032.026689739577,6967.268949704863,7218.123058646924,7499.8670220554395,7505.636406102875,7689.6008318953955,7949.128052279396,8123.57727050399,8403.03026218703,8481.912162133727,8506.282938833825,8703.033293905502,8942.230804022509,9111.375931076504,8998.236774816745,8866.945474238153,9039.246616181366,9291.989831599407,9245.528671825388
PARp-A_J_60,IC_LB,98.80000327010634,1051.2299980657338,1514.5430779094029,2279.742439894305,2821.8738511072215,3577.2394714611246,3347.4296563490952,3455.259118208154,3594.184063409025,3492.9271245305385,3642.4769167580894,3850.472612770786,3967.955314720739,4232.994581667009,4289.777404813656,4297.686527680463,4468.12256826107,4691.216956016569,4896.3995783544,4799.632462117002,4674.99463836707,4822.379288699262,5016.150429550911,4947.841854643533
PARp-A_J_60,mean,1203.3637202429031,2425.067529112934,3129.888020843045,3908.137014329638,4482.020779476314,5287.457960081145,5093.338761860433,5220.753722518056,5386.274717836728,5304.27441264648,5455.537388170115,5671.984615456714,5795.664479940895,6051.222254720955,6107.039840320274,6118.07619139116,6291.236938752418,6511.99754124947,6697.61297311329,6588.361029182083,6457.3466374082045,6605.14915731306,6817.779522162866,6759.326251430545
PARp-A_J_60,IC_UB,2307.9274372156997,3798.905060160135,4745.232963776687,5536.531588764971,6142.167707845406,6997.676448701165,6839.247867371771,6986.2483268279575,7178.365372264431,7115.621700762422,7268.597859582142,7493.496618142643,7623.373645161051,7869.449927774901,7924.302275826893,7938.465855101857,8114.351309243765,8332.77812648237,8498.82636787218,8377.089596247164,8239.698636449339,8387.919025926856,8619.40861477482,8570.810648217557
PARp-A_J_70,IC_LB,-162.94810077521083,611.6067226676598,908.0678226679686,1574.5176971818053,2028.8109981513676,2792.8385122549635,2532.0612357020354,2636.0816644425217,2742.446419477915,2649.5980997458523,2791.837386118542,3000.53363110324,3204.800941626605,3529.777279421847,3630.719488254405,3629.915286677364,3784.0873844723387,3994.752810948724,4184.735981097966,4084.1069199609365,3959.278861200539,4111.404439159478,4315.860690925541,4265.451424003465
PARp-A_J_70,mean,950.1829169963776,1985.6554360727885,2503.967211128722,3184.2288765232856,3684.5204402786326,4509.156575728822,4281.973016169238,4414.780371552675,4555.592240323971,4480.037317856739,4619.858347309488,4840.553205419921,5038.911065235433,5351.767519132222,5446.810599550081,5444.218985211386,5604.217729950871,5817.740602389657,5990.59027625992,5876.467278054303,5740.423018553027,5883.165346028244,6097.003007381457,6050.557341686736
PARp-A_J_70,IC_UB,2063.313934767966,3359.704149477917,4099.866599589475,4793.940055864766,5340.229882405898,6225.47463920268,6031.88479663644,6193.479078662829,6368.738061170027,6310.476535967626,6447.879308500434,6680.572779736602,6873.021188844261,7173.7577588425975,7262.901710845757,7258.522683745408,7424.348075429403,7640.728393830591,7796.444571421874,7668.82763614767,7521.567175905515,7654.92625289701,7878.145323837372,7835.663259370008
PARp-A_J_80,IC_LB,-101.13056506846272,746.731592571088,1073.501819914802,1713.4784050680505,2176.246999701398,2828.098717816699,2564.8354558317205,2670.093706083027,2803.963163517892,2699.370723615295,2829.686375249292,3052.987657248077,3252.3596495823535,3564.7461518733135,3655.5116990043357,3639.1845304754734,3782.4288745645013,3991.730135959877,4174.271211821886,4066.771481303411,3930.5213688854647,4063.574190780566,4264.344508035456,4201.423700087915
