model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,227.09775242671867,977.9462295291221,1150.087090501595,1656.9460233900795,1865.0217571996052,2262.6811017564946,2469.9866540547555,2794.6304528330247,3535.5414970300153,3303.697903676454,3501.150464625471,3761.0558695093637,3616.731964416196,3952.885717329039,4142.116450000221,4091.5145710360675,4055.847656596213,4121.664617074779,4137.974564729881,4561.303647788492,4775.450272347403,5057.709563555121,4977.424687619928,4669.038875509387
NW_PARp,mean,1328.2099187500005,2364.800238993711,2738.0070063291146,3238.181649681529,3458.6359775641026,3897.903461290323,4140.548863636363,4493.896163398694,5273.348355263159,5061.916764900662,5263.6550633333345,5531.4194496644295,5383.55320608108,5701.6698027210905,5900.34647260274,5864.330479310345,5848.259059027777,5920.32820979021,5915.811556338029,6347.1180567375895,6573.127317857144,6869.021442446044,6797.54493115942,6492.0818467153285
NW_PARp,IC_UB,2429.3220850732823,3751.6542484582997,4325.926922156634,4819.417275972979,5052.2501979286,5533.125820824151,5811.111073217971,6193.161873964363,7011.155213496302,6820.13562612487,7026.159662041198,7301.783029819495,7150.374447745964,7450.453888113142,7658.576495205258,7637.146387584623,7640.670461459341,7718.991802505641,7693.648547946176,8132.9324656866875,8370.804363366884,8680.333321336966,8617.665174698912,8315.12481792127
NW_PARp-A,IC_LB,139.92018407264914,839.7442516805634,947.2173177189261,1442.8333332061416,1624.5251969693763,2029.3788570559184,2202.8547214626765,2473.9578535852143,3152.6410187297975,2899.753639625739,3101.343036773478,3384.1425272254373,3273.1866000125856,3648.3079833567604,3875.4583402647813,3857.8778591312966,3862.4844742817118,3963.427534927369,4009.5518033583103,4471.270854163857,4726.992921491624,5060.1655891410355,5021.589406062223,4751.31929515369
NW_PARp-A,mean,1249.2059406250005,2234.216226415095,2543.4381202531654,3031.6435828025483,3235.0084262820515,3685.110822580646,3891.4984870129883,4191.353166666668,4912.098861842105,4680.268105960266,4887.352046666668,5179.907848993288,5064.222773648648,5423.67343537415,5657.231198630137,5651.554137931034,5671.348711805556,5781.019482517483,5808.301841549296,6270.9937198581565,6528.700967857143,6863.260953237411,6827.465927536233,6558.871518248175
NW_PARp-A,IC_UB,2358.491697177352,3628.6882011496273,4139.658922787405,4620.453832398955,4845.491655594727,5340.842788105374,5580.142252563301,5908.748479748121,6671.556704954413,6460.782572294794,6673.361056559857,6975.673170761139,6855.258947284711,7199.03888739154,7439.004056995494,7445.230416730772,7480.212949329401,7598.611430107598,7607.051879740282,8070.716585552456,8330.409014222663,8666.356317333786,8633.342449010242,8366.423741342658
PARp-A_J_20,IC_LB,704.639483197458,1453.4731813121361,1296.1446332144642,1610.825440607528,1806.6615768000038,2274.3791868712906,2200.144766320136,2220.4502097628124,2330.3541491853202,2078.3150181914407,2218.6347614494994,2267.124927543548,2175.4185480385368,2004.419367000969,1742.8630439689105,1754.8894896655402,2439.479184579114,2907.981561342901,3297.4713923156887,3283.749372220754,3323.6299124772895,3453.4936453567225,3499.176328867168,3433.5570629431522
PARp-A_J_20,mean,2578.9052174239177,3777.9701269546385,3574.402158094249,3829.1592817970545,3912.1809602375633,4353.467581222309,4293.715037786238,4356.236702403396,4407.736288961268,4104.797590783945,4219.172522395149,4334.824769759117,4277.559648393839,4127.969487490295,3862.462597882643,3889.4307080734666,4453.154487165133,4895.477178240558,5280.320670751426,5264.093435348057,5278.6802653745135,5315.312521432117,5299.945386564103,5168.405605192647
PARp-A_J_20,IC_UB,4453.170951650378,6102.467072597141,5852.659682974034,6047.4931229865815,6017.700343675123,6432.555975573327,6387.28530925234,6492.023195043979,6485.118428737215,6131.28016337645,6219.710283340799,6402.524611974686,6379.700748749141,6251.5196079796215,5982.0621517963755,6023.971926481393,6466.829789751152,6882.972795138215,7263.169949187164,7244.4374984753595,7233.7306182717375,7177.131397507512,7100.714444261037,6903.254147442142
PARp-A_J_30,IC_LB,1325.3423966303246,2346.9298564713763,2934.2486758354084,3641.0060318798896,4151.215525016541,4774.779731613491,4505.022934741748,4630.048341745787,4839.635561670883,4677.414966937111,4868.671724044558,4830.057617209537,5154.047041750026,5313.7515723033,5247.325246337178,5160.078070977772,5228.432027788337,5356.542866105395,5487.968146332478,5349.857483677594,5195.816479561025,5253.14896745798,5383.576965194376,5316.32905426483
PARp-A_J_30,mean,2615.044046172572,3926.831083701964,4690.245755692915,5335.600711546972,5821.796469930732,6466.523720774376,6220.425739271649,6383.720009142936,6588.195641959174,6422.649021204945,6587.053528237175,6547.659708686709,6853.995669975729,7016.53478105578,6968.514413225775,6896.036097747027,6971.772756450461,7104.175312942039,7220.638761433417,7078.643372428677,6928.918173855165,6998.60892437007,7146.650199936026,7084.742109080826
PARp-A_J_30,IC_UB,3904.7456957148197,5506.732310932552,6446.242835550422,7030.195391214054,7492.377414844924,8158.26770993526,7935.82854380155,8137.3916765400845,8336.755722247464,8167.883075472779,8305.435332429792,8265.26180016388,8553.94429820143,8719.31798980826,8689.703580114372,8631.994124516283,8715.113485112584,8851.807759778685,8953.309376534356,8807.42926117976,8662.019868149306,8744.06888128216,8909.723434677677,8853.155163896821
PARp-A_J_40,IC_LB,1186.10894723279,2381.7572299593685,2924.900495364024,3687.4609042623038,4200.978327775346,4996.392248574803,4797.398178596197,4974.457886764179,5280.931243166244,5309.832501787281,5603.54828229462,5819.658241562768,6038.988734030218,6198.198224081105,6170.435287534387,6121.824325365956,6256.246064157667,6444.291856618705,6614.550568410739,6503.283806127509,6395.301289775919,6548.003404993373,6770.237778392822,6696.945618932436
PARp-A_J_40,mean,2438.228741878217,3924.760986718677,4629.462881049787,5320.916285945239,5828.551376758656,6654.28628697825,6475.319259501276,6682.812078763128,7005.775713954487,7046.942960497032,7341.388504434543,7572.166215101777,7809.566376034035,7960.49753686455,7945.480531027913,7909.328906320546,8057.490358267673,8242.43052464685,8391.610269840772,8268.762520093042,8159.445098924989,8322.817093313293,8565.214886975486,8501.931870666323
PARp-A_J_40,IC_UB,3690.3485365236443,5467.764743477986,6334.02526673555,6954.371667628175,7456.124425741967,8312.180325381698,8153.240340406355,8391.166270762076,8730.620184742731,8784.053419206783,9079.228726574467,9324.674188640787,9580.144018037852,9722.796849647995,9720.525774521439,9696.833487275135,9858.73465237768,10040.569192674995,10168.669971270805,10034.241234058574,9923.58890807406,10097.630781633214,10360.191995558149,10306.91812240021
PARp-A_J_50,IC_LB,213.3552298685504,1104.9380385287168,1535.0999508113946,2236.780970855571,2699.556168086961,3422.587682397764,3273.0270567308194,3485.5066318249915,3724.3847808339883,3720.163677420267,3935.7271905354983,4178.529235124503,4312.578487071939,4592.462825187189,4661.031894747881,4676.794695093136,4865.34147904559,5118.510730029626,5338.475626470108,5256.390037226824,5143.339537227942,5317.974449430126,5536.567858161815,5468.907300819831
