model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.034198209461803256,0.05959374123629799,0.07101281828489632,0.0818838619079137,0.08800057073739628,0.09939909835149288,0.10657338827200835,0.1180126794965071,0.14047728563683118,0.13596306098865926,0.14163236557775466,0.14871570865364458,0.1457593182796834,0.15286266495593867,0.1587909425491495,0.1583492465319737,0.1577300976304025,0.1598366473887909,0.15999366214553662,0.17196421006344637,0.17794398994196453,0.18506460158867263,0.18221552892829634,0.17471117916879864
NW_PARp,mean,0.059758379393774846,0.09503405198380437,0.11222427438138546,0.1267961673643352,0.13633220594225579,0.15139037990766419,0.1626469278547832,0.17704570618989937,0.20197596934107342,0.19868189838459524,0.204451577868426,0.2122639486542509,0.2094727341265347,0.21700922985879784,0.2238698278586508,0.22421960859154286,0.22424823483178158,0.2265811255525564,0.22632650891454031,0.23881168373380804,0.245293771523774,0.25328568685565034,0.2509907670814616,0.243446338717168
NW_PARp,IC_UB,0.08531854932574644,0.13047436273131074,0.15343573047787462,0.17170847282075669,0.1846638411471153,0.2033816614638355,0.21872046743755807,0.23607873288329165,0.26347465304531564,0.26140073578053125,0.2672707901590973,0.27581218865485724,0.27318614997338597,0.281155794761657,0.2889487131681521,0.29008997065111203,0.2907663720331607,0.29332560371632194,0.292659355683544,0.3056591574041697,0.31264355310558345,0.321506772122628,0.3197660052346269,0.31218149826553737
NW_PARp-A,IC_LB,0.0325648848881637,0.05675039212373706,0.06583730164399527,0.07564273182433137,0.08096712101300844,0.09219934413204733,0.09826126493297084,0.10855026923283381,0.12974553277942225,0.12504247322635756,0.13115636982722692,0.13889776457667055,0.1367543771515292,0.14496894508015706,0.15193837413931097,0.15260788621752258,0.15306444762520008,0.15650583061472784,0.15795672527056515,0.17125642844948158,0.17841078541482663,0.1866415326941066,0.18481789585729982,0.17813467550016182
NW_PARp-A,mean,0.0579059810366518,0.09134906809438692,0.10576079244696453,0.11862622791155523,0.12689400138945447,0.14140206015840345,0.1510172739260856,0.1640190840797967,0.18786478018161085,0.18467945977011274,0.1914401326847788,0.2003017168796947,0.1987767749566113,0.20774774610780367,0.2159290066905505,0.21737260777749204,0.21829513777678286,0.22186876429894306,0.22261218135891445,0.23608163955747966,0.243435073131351,0.25229048196992415,0.25107219491552274,0.24426778449877223
NW_PARp-A,IC_UB,0.0832470771851399,0.12594774406503678,0.14568428324993377,0.1616097239987791,0.1728208817659005,0.19060477618475957,0.20377328291920038,0.2194878989267596,0.24598402758379945,0.24431644631386792,0.25172389554233066,0.2617056691827188,0.26079917276169345,0.27052654713545027,0.2799196392417901,0.2821373293374615,0.28352582792836567,0.2872316979831583,0.28726763744726375,0.30090685066547773,0.30845936084787534,0.3179394312457417,0.3173264939737457,0.31040089349738265
PARp-A_J_20,IC_LB,0.06333200350151211,0.08891421399711939,0.10801483982626477,0.11552190402020514,0.1258298642635712,0.13757568231599146,0.14374486493086996,0.144442250078007,0.14273210327879018,0.14226070760310444,0.14487779001187004,0.14730052671870314,0.16160032491572773,0.16120107642917886,0.15852970848565384,0.16064616843653273,0.15869013542224003,0.16418654516853856,0.16789468310188568,0.1688140131408915,0.16664132023861594,0.1705936583908486,0.17226250537696802,0.16376049128512726
PARp-A_J_20,mean,0.09927815124243643,0.1365931196536305,0.16141363782277823,0.17078621718325032,0.18383768870467385,0.19702102293171636,0.2042219085073278,0.2048624770146678,0.20208803639441852,0.20189750153445107,0.20463399825324238,0.20729541046728206,0.22152099799279817,0.22135829033122584,0.2190865480381408,0.22173336584171002,0.2199175967197033,0.2257553405952426,0.22904490469307148,0.23026731016449076,0.22838233977730932,0.23305281619080098,0.2355640542916173,0.22716369140420362
PARp-A_J_20,IC_UB,0.13522429898336075,0.18427202531014159,0.2148124358192917,0.22605053034629552,0.2418455131457765,0.25646636354744123,0.26469895208378563,0.2652827039513286,0.2614439695100469,0.2615342954657977,0.26439020649461475,0.267290294215861,0.2814416710698686,0.2815155042332728,0.27964338759062773,0.2828205632468873,0.28114505801716655,0.2873241360219466,0.29019512628425725,0.29172060718809,0.2901233593160027,0.29551197399075335,0.2988656032062666,0.29056689152327997
PARp-A_J_30,IC_LB,0.06381997889100866,0.09612327233703723,0.12124557214216428,0.13913822599483688,0.1495761915021151,0.16810346840149862,0.16465445000066514,0.1718113787191109,0.1807789908986584,0.17597751857231198,0.18043913506208162,0.179515960491534,0.18953723282070759,0.19329328546948643,0.19352326033005446,0.1936030364654539,0.19634725283100787,0.20031040264657246,0.20409671479449645,0.20044740857457025,0.19623954456427217,0.19660502466725197,0.19854104950473195,0.19671550429552126
PARp-A_J_30,mean,0.09764199233058994,0.14073219252639405,0.17245212113150662,0.19279951443368254,0.20410214394201787,0.22620250134740782,0.2242557605876247,0.232447711987259,0.24063959598356366,0.2359316658684425,0.2400530871704194,0.23969973277381978,0.2506003860350797,0.2551020222134743,0.2559439237511928,0.25649240490248304,0.25955941463806276,0.2637204871118442,0.2672752093149349,0.26338563184246166,0.25907931131065626,0.2597633550051766,0.2624363494185645,0.2608915215592102
PARp-A_J_30,IC_UB,0.13146400577017123,0.18534111271575088,0.22365867012084897,0.2464608028725282,0.25862809638192064,0.284301534293317,0.28385707117458425,0.2930840452554071,0.3005002010684689,0.295885813164573,0.2996670392787572,0.29988350505610556,0.31166353924945184,0.3169107589574621,0.3183645871723311,0.3193817733395122,0.32277157644511767,0.32713057157711595,0.3304537038353734,0.3263238551103531,0.32191907805704034,0.3229216853431013,0.326331649332397,0.3250675388228991
PARp-A_J_40,IC_LB,0.05857617154468134,0.09345456458319427,0.1140171461997678,0.129419278098276,0.14086500926597684,0.16391087149021685,0.16339435936305574,0.17543219310252614,0.19115022294704181,0.19451621706773872,0.2027901426980686,0.20926807707338566,0.21587032010033289,0.21851284329294463,0.2183880900408286,0.21817173976340337,0.22258151689393646,0.229028362813748,0.23517820269371792,0.2344138202427451,0.23296907235135828,0.23643031896171174,0.24084428801117846,0.2388528904913071
PARp-A_J_40,mean,0.09036585045559983,0.13676455906035087,0.1638983194974188,0.18159117224984353,0.19481137666842258,0.22063245330566622,0.22261069001708692,0.23610224849720216,0.25182560881591526,0.25595454866150485,0.26433760531593176,0.2718392510355934,0.28151426433729126,0.2850142329900061,0.28566325181996377,0.28603487284244433,0.29119153161235206,0.2977469112814878,0.3037233975003842,0.3027472910741045,0.3013278638085618,0.30520687946717295,0.3104978062240896,0.30892303938727983
PARp-A_J_40,IC_UB,0.12215552936651833,0.18007455353750745,0.21377949279506978,0.23376306640141106,0.24875774407086831,0.2773540351211156,0.2818270206711181,0.2967723038918782,0.3125009946847887,0.317392880255271,0.3258850679337949,0.33441042499780116,0.3471582085742496,0.3515156226870676,0.35293841359909894,0.3538980059214853,0.35980154633076766,0.36646545974922756,0.37226859230705045,0.37108076190546385,0.36968665526576533,0.37398343997263417,0.3801513244370008,0.37899318828325257
PARp-A_J_50,IC_LB,0.033697026026597215,0.06083148466077243,0.07671086538775593,0.0917367873404348,0.10365665026631786,0.124997812550362,0.12619419141380248,0.13777501028364397,0.15058376244532645,0.1524756572250651,0.1587877404270906,0.16480351675985416,0.16776388200908873,0.17247219719619294,0.17421046392542178,0.1757829582427482,0.18162272194108875,0.19006586489205293,0.19790804710623483,0.1983099977060317,0.19703121175610844,0.20164367809304778,0.206584165967738,0.20430387683724688
PARp-A_J_50,mean,0.061849064487794876,0.10028500279616476,0.1229059582128346,0.14128329207371276,0.15568771678332477,0.17991958469516256,0.18435436160382593,0.19770186916374843,0.21158174390499404,0.21467047355584062,0.22154178842565198,0.22879588729147962,0.23350869320303808,0.23934852946032006,0.24188329153210616,0.24365590636439155,0.24990255710577294,0.2582567161935385,0.2653610165395349,0.265083823524926,0.26349379028040837,0.2687771765252396,0.27495051667603326,0.27290095182230634
PARp-A_J_50,IC_UB,0.09000110294899254,0.1397385209315571,0.16910105103791329,0.19082979680699072,0.20771878330033167,0.2348413568399631,0.24251453179384938,0.2576287280438529,0.27257972536466163,0.2768652898866162,0.28429583642421336,0.2927882578231051,0.2992535043969874,0.3062248617244472,0.30955611913879055,0.3115288544860349,0.31818239227045714,0.3264475674950241,0.332813985972835,0.3318576493438203,0.3299563688047083,0.3359106749574314,0.34331686738432854,0.3414980268073658
PARp-A_J_60,IC_LB,0.03372483635279663,0.06428519426697699,0.0812333319558079,0.09371828404752322,0.10388593573023774,0.12333665688050993,0.11863759873164137,0.12558845697825555,0.1354867578559889,0.13623431276773518,0.1427095131800929,0.14874832201412463,0.15145164519918528,0.1560975775622308,0.1573463185276408,0.15812955447159796,0.16313453766076275,0.1704588099258662,0.17726078976957244,0.17688604181762352,0.1748708172792459,0.17877368669200747,0.18342515055603315,0.18138048800844517
PARp-A_J_60,mean,0.06088030207002582,0.10147297857894873,0.12454925467968708,0.13993818241708258,0.1525269701718019,0.1756146400618745,0.173870000933455,0.18294572573722756,0.19454866772387672,0.19714575250094038,0.20435313026539761,0.2116860675714819,0.21571731408161768,0.2212139950776908,0.2232363301410563,0.22437437239759891,0.2298090790067399,0.2368293091918128,0.242889620500133,0.2417439297889798,0.23935865611266227,0.24385554948154775,0.2498026582826179,0.24802485866868776
PARp-A_J_60,IC_UB,0.08803576778725501,0.13866076289092047,0.16786517740356627,0.18615808078664195,0.20116800461336604,0.22789262324323906,0.22910240313526864,0.24030299449619957,0.25361057759176453,0.2580571922341456,0.26599674735070233,0.27462381312883916,0.2799829829640501,0.2863304125931508,0.28912634175447177,0.29061919032359984,0.2964836203527171,0.3031998084577594,0.30851845123069355,0.30660181776033607,0.3038464949460786,0.30893741227108806,0.3161801660092027,0.3146692293289304
PARp-A_J_70,IC_LB,0.0245232593326125,0.04873056299490589,0.06194215625200598,0.07405244985154398,0.08461466316621993,0.10480668038584975,0.09929192356406785,0.10492020242078445,0.11224898959097537,0.11181778073472218,0.1168296671321348,0.12271525186642915,0.12791563018179952,0.13433629880837833,0.137352121069658,0.13815839687833445,0.1429355628198326,0.14997235086887262,0.15619769219560597,0.15525229166231547,0.1528837820677622,0.15677824928295647,0.1615718716316743,0.15982774026441993
