model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.031568960614129185,0.05539129669883117,0.06588924982961239,0.07590614899612738,0.08086779041501466,0.09156357719978019,0.09764208575296793,0.1082514073420142,0.13008375972435623,0.12514138069809713,0.13076187355676436,0.13753407581818272,0.1342733656735678,0.1411731876911951,0.14682602772552164,0.14615174226795985,0.14537961387975526,0.14742924205352798,0.14766538084952463,0.15961217681431517,0.16554424429528078,0.17251187972140847,0.1694883853920981,0.1618745655094798
NW_PARp,mean,0.0571092836151094,0.0900306516636832,0.10562059440071898,0.1183351274616725,0.12481344215132746,0.13850711973872643,0.14729675720776333,0.15983610885681496,0.1835277879121353,0.17960225242265232,0.1854934940906608,0.19308293745687855,0.1900190319713284,0.1973023174009159,0.20389101169216753,0.20404264012179774,0.20399542306929458,0.20645346501777476,0.20632514231703739,0.21879670766466397,0.225322128462468,0.23307669702478312,0.23051277886932173,0.22287183609437647
NW_PARp,IC_UB,0.08264960661608961,0.12467000662853522,0.14535193897182558,0.16076410592721763,0.16875909388764027,0.18545066227767265,0.19695142866255874,0.2114208103716157,0.23697181609991438,0.2340631241472075,0.24022511462455723,0.24863179909557437,0.24576469826908903,0.25343144711063664,0.2609559956588134,0.2619335379756356,0.26261123225883387,0.26547768798202154,0.26498490378455014,0.2779812385150128,0.2851000126296552,0.29364151432815777,0.29153717234654536,0.2838691066792731
NW_PARp-A,IC_LB,0.030268236058193336,0.05318174005492988,0.061318971713437656,0.07022345270339067,0.07439422328368242,0.0849767252940415,0.09002836319664098,0.09955365584762589,0.12003780231668393,0.11473008196229377,0.12054522260933653,0.12789718464094735,0.12531567427686088,0.1331784140998034,0.13978435061151573,0.14014858855636603,0.14048763481678403,0.14396883578058037,0.14557973650003792,0.1589822846444496,0.16622171718586506,0.1744078246145784,0.1724120001693558,0.1656750488829054
NW_PARp-A,mean,0.055756795382468125,0.08745252021665299,0.10039188153279559,0.11143331434771189,0.11675170286142635,0.12965380968184678,0.13679706050948737,0.14791824951277396,0.1703115384057307,0.1662366402630608,0.17278453798102517,0.18135543032408621,0.17940406361047082,0.18793474423240972,0.19580559535623285,0.19718222597644397,0.1982949133599593,0.20238586092411492,0.20357537302362197,0.21723035488503672,0.2250272193662389,0.23387539096745688,0.23239348111397554,0.2256841884681027
NW_PARp-A,IC_UB,0.0812453547067429,0.12172330037837611,0.1394647913521535,0.15264317599203311,0.15910918243917027,0.17433089406965208,0.18356575782233375,0.19628284317792205,0.2205852744947775,0.2177431985638278,0.2250238533527138,0.23481367600722508,0.23349245294408075,0.24269107436501602,0.25182684010094997,0.2542158633965219,0.25610219190313455,0.2608028860676495,0.261571009547206,0.27547842512562387,0.2838327215466127,0.29334295732033533,0.29237496205859526,0.2856933280533
PARp-A_J_20,IC_LB,0.05232346766577325,0.07606127573525565,0.07942322136860504,0.08550553371691663,0.08836433833118093,0.10223045296224573,0.1012038021623361,0.10308378378439291,0.10376574066770333,0.09326452219459097,0.0941307678382377,0.09601808003342316,0.09761661644482686,0.09608058168016172,0.09096600650623199,0.09333086443557906,0.10885588151392374,0.12044891141767963,0.12972354139582232,0.12669704430297624,0.12593336708990827,0.1257930830545175,0.12526610217227346,0.12417544695565083
PARp-A_J_20,mean,0.0931168745997835,0.12897534273903516,0.13589850722351593,0.14405574874080793,0.1465057539362548,0.16028340192653925,0.1603199002443561,0.1633022253055704,0.1634178092254413,0.15199413394059316,0.15201134234784602,0.1552173487648245,0.15725208151592715,0.1552975200983424,0.15095449948300363,0.15357999232377767,0.16706212153015773,0.17865253162006825,0.18989165286484025,0.187847384947503,0.18844272748468865,0.1860113860927788,0.18392102242128044,0.1816938407407957
PARp-A_J_20,IC_UB,0.13391028153379375,0.18188940974281467,0.19237379307842684,0.20260596376469922,0.2046471695413287,0.21833635089083278,0.2194359983263761,0.22352066682674787,0.22306987778317927,0.21072374568659535,0.20989191685745434,0.21441661749622581,0.21688754658702744,0.21451445851652312,0.21094299245977527,0.21382912021197628,0.22526836154639174,0.23685615182245687,0.2500597643338582,0.24899772559202976,0.25095208787946904,0.24622968913104012,0.24257594267028743,0.23921223452594056
PARp-A_J_30,IC_LB,0.0575285341713167,0.08819964904896371,0.11185609606044475,0.12907165980515278,0.13967410717000883,0.15758319994592276,0.15412129150102513,0.1612374180402723,0.1703390917348304,0.16536775269607135,0.1698707975851904,0.1688081529428308,0.1785144899313786,0.18202100103389965,0.1821025526661352,0.18200385913136724,0.18464507384102957,0.18854180032219148,0.1923521445928858,0.18880922005522488,0.18457225068753783,0.18485931852959597,0.1866111133279252,0.18467046062129322
