model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,median,0.04269211154867128,0.08125081801376847,0.0871930299175356,0.08879762725866469,0.10756660210153304,0.10360531435729325,0.1229521152450109,0.15116498237604648,0.14673506861389,0.14452499103947178,0.15354838058160553,0.1592729967096361,0.14866465088362144,0.1569128650667268,0.16653317867591483,0.1692076325037368,0.1716489986582585,0.1707343758521022,0.17153409604647066,0.18195874399198556,0.18855901144595483,0.19439566794081767,0.18612024487042805,0.1739175103784982
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,median,0.04953241284090766,0.06726229096207122,0.0927725887792254,0.08011180149633611,0.10780214371992466,0.10302303455020272,0.12747547389038122,0.1375773043790817,0.1542367803684349,0.13049747194043537,0.12810598560093736,0.14131135624198785,0.14248154095107796,0.15493776818315072,0.1559476820061343,0.15980945529475296,0.15614965281985566,0.15818502221589686,0.15553028346177045,0.17609792763868068,0.17229100377514056,0.18265954686531335,0.18039878288348082,0.17417106045297073
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,median,0.08164758092820773,0.10415950623029169,0.11082679415999916,0.11837646707528328,0.11823506774539316,0.11291615808674485,0.11214548687619268,0.12633585134489828,0.12377205604056139,0.12271946038098046,0.11959206851385952,0.10995717421415645,0.10881983497458762,0.09490090700513566,0.0999197993782791,0.11019726680709543,0.1261677781616566,0.14197185253538272,0.14721701682282878,0.13634372613702173,0.14239107570890427,0.13583938532227396,0.13747034984100576,0.13206164320739378
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
