model,statistics
NW_PARp,114615.95163636365
NW_PARp-A,110071.06635757578
PARp-A_J_20,121515.318346568
PARp-A_J_30,143581.384400257
PARp-A_J_40,159362.9305123592
PARp-A_J_50,127997.83138420613
PARp-A_J_60,119092.85247417098
PARp-A_J_70,103296.02646491904
PARp-A_J_80,103792.20806915549
PARp-A_w_2,106920.46675389464
PARp-A_w_4,105852.58464009054
PARp-A_w_11,98699.53496282878
SeasonalNaive,35212.22618181819
SARIMA,56686.04277502934
StructuralModel,72826.5530110515
ScoreDrivenModel,44913.68083581274
MonthlyMedian,67516.86484848488
