model,statistics
NW_PARp,110318.87913125
NW_PARp-A,106006.04142499999
PARp-A_J_20,96744.25016435253
PARp-A_J_30,140047.98253655
PARp-A_J_40,155469.17562198534
PARp-A_J_50,123980.49644707004
PARp-A_J_60,115331.90548399284
PARp-A_J_70,99094.64105390609
PARp-A_J_80,99673.90163378752
PARp-A_w_2,102935.55904900513
PARp-A_w_4,101859.09119210028
PARp-A_w_11,94467.14032457523
SeasonalNaive,31088.431374999986
SARIMA,55738.19792042689
StructuralModel,68197.2255650005
ScoreDrivenModel,43491.80076335788
MonthlyMedian,65346.63624999998
