model,statistics
NW_PARp,111655.16924999998
NW_PARp-A,102630.74074999994
PARp-A_J_20,107521.73464444146
PARp-A_J_30,141469.66903895186
PARp-A_J_40,152669.75129649235
PARp-A_J_50,117899.97002606365
PARp-A_J_60,111766.58316230669
PARp-A_J_70,100651.15753120653
PARp-A_J_80,96412.8435856913
PARp-A_w_2,101098.49182277074
PARp-A_w_4,100802.68465093433
PARp-A_w_11,92980.91001623226
SeasonalNaive,36708.439999999886
SARIMA,58316.97773992951
StructuralModel,65932.99531257665
ScoreDrivenModel,42899.62698987062
MonthlyMedian,77021.29499999993
