model,statistics
NW_PARp,0.16132856049345587
NW_PARp-A,0.15379083387280465
PARp-A_J_20,0.17292806712080716
PARp-A_J_30,0.20178437644565617
PARp-A_J_40,0.21863596089415063
PARp-A_J_50,0.17632268412382077
PARp-A_J_60,0.16526535408119372
PARp-A_J_70,0.14463368929208537
PARp-A_J_80,0.1465913383304977
PARp-A_w_2,0.15039082345250349
PARp-A_w_4,0.14908940185374503
PARp-A_w_11,0.1408624642295694
SeasonalNaive,0.08465493728537521
SARIMA,0.08692708262073047
StructuralModel,0.1051328481926593
ScoreDrivenModel,0.0831453633561702
MonthlyMedian,0.10449343573821618
