model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,median,2609.3104618749994,3386.6297257499996,3603.407163375,3664.9816514999993,3389.544841499999,3376.15990175,3316.199056625,3467.5626335,3749.8309303749993,3830.467667,3707.57023425,3875.4839214999993,3846.7723834999997,3860.8426152499997,3973.317194,4052.8745025000003,3869.5072165,3914.3264630000003,3852.5191657499995,3920.1223405000005,4120.347503625,4308.94294225,4308.891487374999,4116.651359
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,median,2648.0295672499997,3178.298436249999,3465.4344133749987,3385.203060999999,3293.7314876249998,2921.0900364999998,3112.788417625,3338.5333459999997,3616.982575125,3515.497502,3619.1562436249983,3840.5565687500007,3917.7710241249997,3803.8650632499985,3832.9341457499995,3930.59976475,3945.3569214999998,4080.449416,3892.657179125,4100.00707275,4302.224244875,4534.391019,4481.988497999999,4221.1645435
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,median,4445.5716640583,4342.692611277591,4236.3567511342735,4427.811162853276,4060.1939796223087,3944.508620433318,3814.1989520176976,3757.094172592836,3782.4851856441746,3813.747224070436,3921.865430376579,4145.543866099519,3941.5609299338926,3863.4790661986544,4009.9307674099123,3983.6138519429633,4139.9973310509695,4362.994948975829,3933.21222498726,3748.4745537786275,4102.1578734262885,3712.3933481190497,3485.2389483497127,3797.433276686669
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,median,2946.5189147480364,3586.4978707555683,4147.411046843292,3552.4779771763,3743.5229745533343,3756.149407311827,3836.6318589095717,3933.856896434894,4103.223960575832,4234.420738581888,4267.879455419041,4240.742392010858,4337.394881111521,4250.790691752576,4122.759937029927,4238.177221918862,4250.600579405474,4325.43558700292,4193.049476994579,4226.236531802999,4200.85419842275,4295.558576465307,4299.147616068745,4323.371650567885
