model,statistics
NW_PARp,75707.16842026357
NW_PARp-A,73079.2379214697
PARp-A_J_20,87168.18382340323
PARp-A_J_30,108404.96694289568
PARp-A_J_40,113387.6534674408
PARp-A_J_50,84565.33038676114
PARp-A_J_60,79934.33574178875
PARp-A_J_70,70333.61172392793
PARp-A_J_80,69976.47912557545
PARp-A_w_2,71930.30087205653
PARp-A_w_4,71706.59986753699
PARp-A_w_11,69065.02787229646
SeasonalNaive,87675.43939393933
SARIMA,53017.63357979399
StructuralModel,93955.35516280874
ScoreDrivenModel,56718.684004172006
MonthlyMedian,83426.49842424244
