model,statistics
NW_PARp,72351.42182591875
NW_PARp-A,70210.90758825626
PARp-A_J_20,83244.6571021533
PARp-A_J_30,105300.1227013891
PARp-A_J_40,109461.32240600236
PARp-A_J_50,81517.73758758394
PARp-A_J_60,77321.67288369128
PARp-A_J_70,67617.0495695056
PARp-A_J_80,67163.04349084817
PARp-A_w_2,69178.550839846
PARp-A_w_4,68968.54610316528
PARp-A_w_11,66283.7094709587
SeasonalNaive,85204.31975
SARIMA,53712.40299782333
StructuralModel,93440.13826891451
ScoreDrivenModel,57663.21373630926
MonthlyMedian,83461.56074999996
