model,statistics
NW_PARp,66936.93309800004
NW_PARp-A,60491.98069024994
PARp-A_J_20,75661.86857576706
PARp-A_J_30,101655.63523902906
PARp-A_J_40,100423.3219914762
PARp-A_J_50,71662.44002667151
PARp-A_J_60,66679.75288277515
PARp-A_J_70,59299.179475449084
PARp-A_J_80,56847.31032239836
PARp-A_w_2,59312.597859142654
PARp-A_w_4,59344.11985015786
PARp-A_w_11,56246.47119739627
SeasonalNaive,78873.7900000001
SARIMA,40806.94368223584
StructuralModel,80166.69644709238
ScoreDrivenModel,46849.50028814909
MonthlyMedian,84816.08499999985
