model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,mean,5414.0014375,6430.739119496856,6935.518101265823,7084.264777070064,6970.78044871795,6979.88470967742,7126.062922077923,7126.524183006537,7422.714605263157,7329.821456953643,7310.056,7475.092416107383,7577.315202702702,7543.24619047619,7542.34308219178,7718.9846206896555,7579.541805555557,7755.185314685315,7540.129366197184,7812.4338297872355,8010.7774285714295,8149.711366906474,8086.949057971015,7945.822554744527
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,mean,5350.3791875,6304.270440251573,6797.590632911394,6892.845414012741,6807.011474358975,6860.543548387097,7026.035779220781,7054.693856209151,7297.309342105264,7246.780794701987,7214.705066666666,7353.112953020135,7464.4119594594595,7392.166054421768,7443.794726027398,7660.661448275861,7554.930000000001,7737.317062937063,7532.443732394367,7816.461205673759,8006.532571428572,8146.686474820145,8087.690217391306,7938.482700729928
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,mean,8706.69232834465,9732.222297036755,9409.957186275158,9230.054656925739,8446.806226418616,8200.63349535311,8027.757364695716,8370.394194100514,8019.08552571803,8014.988312932049,7912.12084409788,8128.497142211103,8117.0773593041085,7785.026544727848,7639.661977834796,7744.24508172717,7774.096078640831,7900.8045223033405,7911.0419375689435,7995.105729272513,8122.755999865606,7957.280961279473,7775.337821703602,7580.692231787559
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,mean,6623.341915725013,7474.176258251743,8133.81573764235,8060.931803303785,7957.055844585649,8203.954132985262,8040.495999224306,8189.460067694415,8224.423754067013,8211.620649094504,8181.509341158045,8225.799998946668,8458.079651965696,8373.897122467004,8340.290551441512,8452.8165737079,8397.04134750182,8448.909856441953,8442.821565933189,8430.01472387607,8334.072096958611,8444.760926898422,8497.094927825188,8491.960985224221
PARp-A_J_30,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,mean,6561.7125731846945,7961.754868541143,8651.04086322881,8410.98533094592,8178.1229572651855,8538.793191206729,8410.515517210584,8466.752533951496,8439.22159678144,8493.753327201588,8664.139784688114,8869.495750569631,9022.656500385076,9013.468345050069,8974.118903745582,9154.970440126825,9111.94959332812,9206.09414832495,9168.98641767048,9176.741131670118,9095.198961221187,9280.095119125877,9362.562098709172,9385.473102252596
PARp-A_J_40,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,mean,5928.309053745314,6961.248072798961,7628.259641449485,7762.41200500824,7811.999657021089,7887.062831145058,7825.495467991771,7763.673705634211,7746.614749305073,7754.0325561929385,7688.638671990508,7838.953007710144,8006.679088296419,8024.191673563127,8030.764940651127,8222.03326519462,8221.27837471918,8351.633788087222,8365.289789246228,8299.426845624232,8271.79271567446,8396.620945360395,8440.331594383499,8460.914333964654
PARp-A_J_50,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,mean,5946.463079261578,6979.695405207349,7695.320479835478,7776.746633420464,7669.960006891226,7672.272981537151,7526.2699144808275,7489.925462583186,7406.862005372279,7528.493912213214,7526.227140738018,7639.8895900300095,7737.281886413766,7729.671043094023,7709.012552426533,7861.420606882819,7808.722877900549,7915.728403391274,7929.02888740736,7861.467118029727,7839.842471174053,7971.664674529617,7960.468947539767,7985.4512123301265
PARp-A_J_60,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_70,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
