model,statistics
NW_PARp,100142.8504242424
NW_PARp-A,97675.68593939392
PARp-A_J_20,114698.52039864972
PARp-A_J_30,135451.62781752707
PARp-A_J_40,149775.90565513496
PARp-A_J_50,119216.44910855877
PARp-A_J_60,112204.94498774185
PARp-A_J_70,99601.95220187408
PARp-A_J_80,98371.61578451323
PARp-A_w_2,101412.90195654852
PARp-A_w_4,101155.15622441568
PARp-A_w_11,97782.3736004806
SeasonalNaive,87675.43939393933
SARIMA,68481.09170835305
StructuralModel,123265.56458890115
ScoreDrivenModel,72100.01122287152
MonthlyMedian,83426.49842424244
