model,statistics
NW_PARp,95775.11087500003
NW_PARp-A,93603.37487500002
PARp-A_J_20,109933.03057071683
PARp-A_J_30,131861.59524696888
PARp-A_J_40,145806.36686893576
PARp-A_J_50,115190.7841184495
PARp-A_J_60,108526.69229608541
PARp-A_J_70,95535.25097962777
PARp-A_J_80,94347.09912156584
PARp-A_w_2,97505.42745045328
PARp-A_w_4,97267.29641110009
PARp-A_w_11,93769.01954865205
SeasonalNaive,85204.31975
SARIMA,69759.3682123055
StructuralModel,122627.88595564784
ScoreDrivenModel,74651.84229181931
MonthlyMedian,83461.56074999996
