model,statistics
NW_PARp,94406.815
NW_PARp-A,87562.38999999996
PARp-A_J_20,104768.39492632454
PARp-A_J_30,132596.8985755343
PARp-A_J_40,142770.8725126873
PARp-A_J_50,108106.66587839992
PARp-A_J_60,103716.74977786347
PARp-A_J_70,89829.18984907313
PARp-A_J_80,86506.72013594178
PARp-A_w_2,90772.65168806835
PARp-A_w_4,90958.86807964585
PARp-A_w_11,85626.22028609397
SeasonalNaive,78873.7900000001
SARIMA,58714.56814831222
StructuralModel,105911.17599096417
ScoreDrivenModel,67605.00286094926
MonthlyMedian,84816.08499999985
