model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,-1301.4223677034577,-1737.420569028388,-1996.8587008323877,-2005.3775989519381,-2435.660267481313,-2520.472904034101,-2484.4396941492196,-2530.324954464533,-2139.212852566561,-2545.378402561849,-2499.285242458819,-2496.065969003778,-2658.9164717186195,-2636.622838316292,-2380.8099839435135,-2524.009970529768,-2489.913918716968,-2501.170139865926,-2657.377276528912,-2509.5547502865375,-2666.34168764595,-2527.4782493766456,-2681.286920340907,-2841.6030116793945
NW_PARp,mean,-372.8027151515155,-526.3677896341468,-690.0549294478524,-642.6955432098765,-1022.4871521739129,-1033.44198125,-947.9337893081765,-972.3149620253164,-579.0534872611462,-968.1732628205125,-908.7953225806455,-895.0770032467536,-1051.4484379084972,-1019.9555493421038,-756.9027814569532,-893.8747933333334,-852.4550671140938,-857.0283918918919,-998.9854353741492,-841.1887568493148,-990.7508620689657,-849.355211805556,-994.7700209790211,-1145.9421866197185
NW_PARp,IC_UB,555.8169374004267,684.6849897600945,616.748841936683,719.9865125321852,390.68596313348723,453.58894153410097,588.5721155328663,585.6950304139002,981.1058780442689,609.0318769208238,681.6945972975284,705.9119625102704,556.0195959016248,596.7117396320845,867.0044210296072,736.2603838631012,785.0037844887803,787.1133560821424,659.4064057806132,827.177236587908,684.8399635080186,828.7678257655335,691.7468783828646,549.7186384399574
NW_PARp-A,IC_LB,-1236.65042678681,-1599.594166028909,-1808.93562281183,-1804.896188515569,-2232.0766581502185,-2267.7939838424304,-2238.270071912015,-2308.8628887898262,-1934.5892570219735,-2378.3382191587857,-2352.2473277521003,-2357.6760478634337,-2538.684863850901,-2546.905810721451,-2304.0966403540465,-2463.050555892833,-2447.9693759614242,-2464.4498365189365,-2612.29473210555,-2472.6984809273667,-2641.1090529506687,-2493.5820153256686,-2647.180656684902,-2809.8213137056428
NW_PARp-A,mean,-331.92126969696955,-435.51779878048757,-569.1274233128833,-515.195929012346,-893.9319658385093,-864.55263125,-783.7000974842767,-828.3489398734176,-443.5835191082802,-853.6419647435899,-799.8012774193548,-792.5768571428572,-960.9394869281045,-953.2378223684211,-699.8181324503313,-847.9481500000004,-819.1204496644297,-827.0705912162161,-958.7249761904761,-808.2788150684928,-969.7925655172411,-819.6252534722229,-964.3425874125866,-1115.1807218309866
NW_PARp-A,IC_UB,572.807887392871,728.558568467934,670.6807761860636,774.5043304908769,444.2127264731996,538.6887213424305,670.8698769434611,652.1650090429908,1047.4222188054132,671.0542896716059,752.6447729133909,772.5223335777195,616.8058899946916,640.4301659846087,904.460375453384,767.1542558928322,809.7284766325648,810.3086540865045,694.8447797245974,856.1408507903811,701.5239219161864,854.331508381223,718.4954818597286,579.4598700436695
PARp-A_J_20,IC_LB,-535.1934802094304,-616.0878917084673,-712.6515299554595,-783.7631859798543,-1043.1351273407572,-938.8502624851445,-1106.8448520165302,-1215.401573201445,-1003.5914492987788,-1041.073410661375,-1092.7441096787823,-1134.7147503835563,-1041.6667878328997,-1196.2117291489305,-1511.2387319572492,-1465.362556845619,-1458.2806859293821,-1502.0795940398239,-1294.167439081235,-1268.52882694469,-1332.792022675599,-1301.586936074552,-1514.1296298766422,-1645.5159388838413
PARp-A_J_20,mean,630.1657107160074,842.8189258008534,789.7708631977993,820.566246457162,577.7790118836194,670.3815050034622,510.0893146187416,428.3131636160198,630.9758862181716,608.2899129361056,560.699499691463,515.9692702542054,616.3210844192936,478.75778579466447,171.86069962746475,227.46592271912576,235.42074724986497,192.81035294852182,410.5243243120989,436.6765400619987,382.8959266517668,416.84879651846813,207.55900410259383,90.1469310646945
PARp-A_J_20,IC_UB,1795.5249016414452,2301.725743310174,2292.193256351058,2424.895678894178,2198.693151107996,2279.613272492069,2127.0234812540134,2072.027900433485,2265.5432217351217,2257.653236533586,2214.143109061708,2166.653290891967,2274.308956671487,2153.7273007382596,1854.9601312121788,1920.2944022838706,1929.122180429112,1887.7002999368674,2115.216087705433,2141.8819070686877,2098.5838759791322,2135.284529111488,1929.24763808183,1825.80980101323
PARp-A_J_30,IC_LB,-1171.0637905999793,-1323.4211898458134,-1116.228493973326,-1229.361923660654,-1591.4986038562024,-1723.2356094816732,-1848.3998553304762,-1737.8382008225487,-1543.0296579534736,-1290.8395467756773,-1292.285138398213,-1341.8669331963101,-1462.051013684569,-1423.5503735046755,-1380.9049479467158,-1367.0726044597307,-1386.5646812656846,-1402.768953441287,-1313.7835900387618,-1271.4742580115276,-1444.2486155673564,-1553.5095643132508,-1635.5308495539937,-1563.3711835414401
PARp-A_J_30,mean,45.285251921434075,242.19820520284122,436.1265840153717,338.26457920106964,-5.731041222963631,-110.15926500526885,-178.48173450274817,-60.97376681902875,98.65378038047594,371.79697989858823,375.23409446093245,305.6978811469452,191.93891188272002,238.37352951586027,282.9941743902044,300.9502890980312,293.3909062084656,287.65950632835137,387.11097209987184,430.3864584071088,263.0647643767931,154.3502735216566,73.35451264387669,158.72071773248373
PARp-A_J_30,IC_UB,1261.6342944428475,1807.8176002514956,1988.4816620040694,1905.8910820627932,1580.0365214102753,1502.9170794711354,1491.4363863249798,1615.8906671844913,1740.3372187144253,2034.4335065728537,2042.753327320078,1953.2626954902007,1845.928837450009,1900.2974325363962,1946.8932967271244,1968.973182655793,1973.3464936826158,1978.08796609799,2088.0055342385053,2132.2471748257453,1970.3781443209427,1862.210111356564,1782.239874841747,1880.8126190064077
