model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,-1372.3165669139098,-1817.0909346475896,-2035.4492261660348,-2037.6776501571335,-2454.3830567412983,-2471.720909439436,-2394.2414882670328,-2394.6517701199564,-1977.258718103317,-2364.9064816465407,-2313.516298786827,-2308.613250108015,-2471.2145763350954,-2448.4036379277327,-2194.463379200836,-2337.69093688869,-2303.461377208755,-2314.0579045951517,-2470.2230066051243,-2325.4634472550224,-2480.7341863926385,-2344.9891491217045,-2497.674494604157,-2656.7837335832287
NW_PARp,mean,-425.6848812499999,-583.6884371069181,-709.4968829113924,-654.121,-1020.784125,-986.0423903225804,-870.0195292207793,-861.8804575163398,-449.71730263157906,-823.8604437086091,-759.7761466666664,-744.340577181208,-900.0905135135133,-867.8192755102039,-605.8110650684931,-742.4891448275862,-700.5472777777776,-703.9937727272728,-844.9616901408449,-689.1577907801418,-837.4221285714284,-698.3189784172663,-842.7116231884056,-992.2456204379564
NW_PARp,IC_UB,520.9468044139101,649.7140604337536,616.4554603432501,729.4356501571336,412.8148067412984,499.63612879427535,654.2024298254739,670.8908550872767,1077.824112840159,717.1855942293224,793.9640054534941,819.9320957455992,671.0335493080686,712.765086907325,982.8412490638497,852.7126472335174,902.3668216531997,906.0703591406062,780.2996263234347,947.1478656947388,805.8899292497815,948.351192287172,812.2512482273457,672.2924927073159
NW_PARp-A,IC_LB,-1321.5415519609835,-1710.866394842123,-1898.5489600366045,-1895.0279585263904,-2329.0575644225223,-2302.3324718186295,-2237.6167766697977,-2248.8164617431376,-1826.9271359280262,-2225.770933870661,-2171.7051048599533,-2164.67873694619,-2346.326905871577,-2356.765853243159,-2117.8325046926466,-2278.400796033169,-2263.8924580023454,-2280.489233534185,-2429.846619200467,-2292.641986499701,-2459.0576723367926,-2313.3377976059132,-2465.713047257539,-2627.2420782935174
NW_PARp-A,mean,-400.63138749999996,-524.5028490566038,-633.4797056962025,-575.470085987261,-957.591894230769,-885.2497064516128,-777.8866428571426,-778.5718071895424,-359.53768749999995,-734.8936324503312,-657.5793499999999,-639.865899328859,-808.008939189189,-800.8009795918366,-549.695866438356,-698.4938310344828,-669.3581701388888,-676.6696048951047,-808.4035387323943,-659.4937340425531,-819.3935857142856,-670.6454964028775,-814.1844311594202,-963.387306569343
NW_PARp-A,IC_UB,520.2787769609836,661.8606967289155,631.5895486441996,744.0877865518685,413.8737759609844,531.8330589154036,681.8434909555123,691.6728473640526,1107.8517609280264,755.9836689699983,856.5464048599534,884.9469382884721,730.3090274931988,755.1638940594859,1018.4407718159346,881.4131339642038,925.1761177245679,927.1500237439758,813.0395417356785,973.6545184145948,820.2705009082215,972.0468048001584,837.3441849386986,700.4674651548315
PARp-A_J_20,IC_LB,-539.6000577259979,-350.22739425182726,-569.7251256831491,-658.0568967006844,-1021.7547264929555,-1030.3856083790638,-1127.6997672788304,-1120.637355809456,-1177.7460406959067,-1122.5802234702023,-1119.5152501327843,-1246.0696229639552,-1355.2224058213224,-1343.617690382257,-1350.129854540158,-1368.4643505910824,-1403.1185560901126,-1395.635119183689,-1311.7941950066052,-1294.2545643165374,-1445.369597709179,-1504.6201942990438,-1562.8674940973524,-1552.160406024534
PARp-A_J_20,mean,621.1333189380052,1107.195972049873,952.8390802357355,944.4222603474551,606.6623661398456,596.5648561671865,532.2904223136572,577.1531425826674,477.139130959525,544.2099919801544,526.975624212553,394.14515220296784,276.74352814927846,310.32822620742104,302.5114744427083,289.13857377715453,262.82516003716415,265.1589950059981,351.6581220975355,354.0378117742435,207.19834831754315,157.6549065567383,121.13659801931351,146.46876373331654
PARp-A_J_20,IC_UB,1781.8666956020083,2564.6193383515733,2475.40328615462,2546.9014173955948,2235.079458772647,2223.5153207134367,2192.280611906145,2274.943640974791,2132.0243026149565,2211.000207430511,2173.46649855789,2034.359927369891,1908.7094621198794,1964.274142797099,1955.1528034255746,1946.7414981453915,1928.7688761644408,1925.9531091956853,2015.110439201676,2002.3301878650243,1859.7662943442654,1819.9300074125204,1805.1406901359792,1845.0979334911672
PARp-A_J_30,IC_LB,-815.7356237223706,-867.8662318785613,-775.9229986313403,-903.3832934138012,-1308.209120875922,-1448.6562404592169,-1565.6353775622285,-1477.8642683972896,-1297.847699300727,-1040.2075518775366,-1052.82176631443,-1118.5062218244761,-1238.2755017340191,-1200.5206147430763,-1158.4265971203897,-1146.6714642577706,-1162.613771882266,-1176.7427621846111,-1089.130843296783,-1045.7035148430114,-1213.045121525809,-1326.6120221265112,-1413.5871781855037,-1341.1292600603035
PARp-A_J_30,mean,307.6690610906902,583.5491981814013,700.7565460910912,593.5173950206066,221.18121873720995,108.78573369381374,46.437308286288726,148.81203508744298,296.4256004892053,573.2462897467926,567.7518181496258,485.5264451467757,371.6926848211666,418.4456518894091,462.4573449849104,479.0506151595119,474.0075713170076,470.1856092072856,569.9847711204374,614.6518634467024,452.2037808099107,340.15561455685406,255.04754699450427,340.8612293770098
PARp-A_J_30,IC_UB,1431.073745903751,2034.9646282413637,2177.4360908135227,2090.4180834550143,1750.571558350342,1666.2277078468442,1658.509994134806,1775.4883385721757,1890.698900279138,2186.7001313711216,2188.3254026136815,2089.5591121180273,1981.6608713763521,2037.4119185218947,2083.3412870902102,2104.7726945767945,2110.6289145162814,2117.1139805991825,2229.100385537658,2275.0072417364163,2117.4526831456305,2006.9232512402193,1923.6822721745123,2022.851718814323
PARp-A_J_40,IC_LB,-551.7008730861623,-730.3761858444411,-623.0198659443325,-781.851938642131,-1317.3249065208256,-1377.0136465559656,-1533.5496429713235,-1403.2226205181382,-1241.891080957846,-874.7659171164261,-935.0954450513485,-999.4726328330366,-1202.1297868378542,-1156.8393169556034,-1174.6304517203112,-1173.0661490556056,-1230.9499229301684,-1256.515413672857,-1156.335242571785,-1135.1874186665736,-1328.448507172687,-1466.5646589531816,-1555.5454483159233,-1466.2896659735054
PARp-A_J_40,mean,490.75036912101996,651.7472650516881,818.4694255691487,680.7980635347101,198.9726257030329,193.43543313541815,81.4772097063188,209.2081217878972,347.9444494542685,722.4049547682133,678.7642807477918,602.9321202800447,399.66104591137207,449.7464547442346,441.73909616713513,453.1687679418189,405.305290350467,391.83352564560096,502.9707101894653,531.5866826120727,346.447561783033,214.2194604040619,132.83894894886328,232.4070475672856
PARp-A_J_40,IC_UB,1533.2016113282023,2033.8707159478174,2259.95871708263,2143.448065711551,1715.2701579268914,1763.884512826802,1696.504062383961,1821.6388640939326,1937.7799798663832,2319.575826652853,2292.624006546932,2205.336873393126,2001.4518786605981,2056.3322264440726,2058.1086440545814,2079.4036849392432,2041.5605036311024,2040.182464964059,2162.276662950716,2198.360783890719,2021.343630738753,1895.0035797613054,1821.22334621365,1931.1037611080767
PARp-A_J_50,IC_LB,-888.6957786911008,-1160.0693833911723,-1042.9452862549317,-1163.0098724452696,-1684.555113421102,-1839.708806307431,-1989.8758158108612,-1871.9428850540266,-1720.8442771337973,-1386.888450410902,-1434.3486015093695,-1455.9128135223013,-1630.4011025379727,-1560.461491132787,-1576.4279270655704,-1551.763422668239,-1612.619701121358,-1633.2693169967426,-1516.8372240406345,-1490.0172978030937,-1669.1919057389493,-1804.675717499965,-1881.855526654459,-1782.9936526355416
PARp-A_J_50,mean,81.51034540113446,102.78375483377266,274.7842289382031,179.09946604784426,-274.23488003630524,-355.08003944443414,-453.60175315929234,-326.71213049931805,-195.07334552677128,162.2394268689752,135.82495203143586,114.1861339734795,-49.23325804615194,33.180627179921096,23.787513666973535,57.01681513323344,5.028928974305813,-4.291063750960869,128.14796364341552,164.17057309723884,-6.663510864837216,-139.3263705896971,-209.78178506373516,-98.37113121308168
PARp-A_J_50,IC_UB,1051.7164694933697,1365.6368930587178,1592.513744131338,1521.2088045409582,1136.0853533484917,1129.5487274185627,1082.6723094922763,1218.5186240553903,1330.6975860802545,1711.3673041488523,1705.9985055722414,1684.2850814692601,1531.934586445669,1626.8227454926293,1624.0029543995176,1665.7970529347058,1622.6775590699694,1624.687189494821,1773.1331513274656,1818.3584439975712,1655.8648840092749,1526.022976320571,1462.2919565269885,1586.251390209378
PARp-A_J_60,IC_LB,-1024.795144383963,-1360.4421287952414,-1288.5970701765993,-1438.5641204463052,-1928.1538392488283,-2069.6031826906706,-2212.5609193475457,-2087.4476054271177,-1957.9830130714854,-1654.284510009902,-1686.306787183565,-1699.509739933099,-1882.4729514732892,-1838.48309184842,-1859.7665912656853,-1836.8658205722913,-1902.6618847093637,-1920.574529182611,-1811.9004994904726,-1785.6256315360474,-1961.4760523567484,-2101.1871413858435,-2183.9161314593784,-2083.587169853196
PARp-A_J_60,mean,-61.86518755287466,-104.49313777066803,18.55531707110495,-100.38716845027072,-528.2324456248147,-605.1935490275756,-698.9330980285378,-567.7602844257115,-451.91482579397376,-127.94658556173475,-143.05423089408262,-158.61815430311694,-323.55212955649705,-263.6866524442228,-276.17699366085156,-243.84118932964483,-298.1076914772065,-304.52086522854853,-179.4387655949322,-144.6066472588617,-313.16408561095005,-450.7685449802959,-525.6488585628043,-412.97035520457615
PARp-A_J_60,IC_UB,901.0647692782135,1151.4558532539054,1325.7077043188094,1237.7897835457636,871.6889479991991,859.2160846355195,814.6947232904703,951.9270365756947,1054.153361483538,1398.3913388864325,1400.1983253953997,1382.2734313268652,1235.3686923602952,1311.1097869599744,1307.412603943982,1349.1834419130018,1306.4465017549505,1311.532798725514,1453.0229683006082,1496.4123370183238,1335.1478811348484,1199.6500514252518,1132.61841433377,1257.6464594440438
PARp-A_J_70,IC_LB,-1107.8727460274818,-1497.5612010970551,-1442.2999247450323,-1615.5230522297052,-2118.683358112512,-2277.864287988341,-2441.5640575119023,-2312.494425133814,-2197.5069532807092,-1892.6539817340458,-1918.3958372677548,-1946.0957659164146,-2165.340073336916,-2136.676903585575,-2175.6482094488724,-2163.795641983046,-2238.425921115657,-2260.4082215369363,-2162.022203849662,-2138.097682226787,-2308.8691642890726,-2447.542546054976,-2529.440579035302,-2430.6598757154916
