model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.12417151886396954,0.15237567450623749,0.13576017828798345,0.13687609545672028,0.08856591833370067,0.09162289458279171,0.10825298899091745,0.10298856222011227,0.13932584946408183,0.08828415694900915,0.0970404702035309,0.10091271331851709,0.08052737130324844,0.08580092911232212,0.11731768791598773,0.10038517344503056,0.10459532062585242,0.10486036153483674,0.087340188438506,0.1072205764351224,0.0913770554543667,0.10469764196774256,0.08918043544158838,0.07006905578371969
NW_PARp,mean,0.251067192947804,0.34139304988816116,0.3512835125446077,0.3669613666206669,0.32078648704579704,0.33421008507116123,0.3611866932721062,0.35777704148113554,0.40518835788824725,0.34352766374094207,0.35671026011990914,0.363680375360567,0.3409174734468932,0.34916619640084734,0.39083575912248686,0.3719770940159007,0.3806734662692765,0.38355762599397963,0.3620977610169368,0.3885299257998948,0.3703643770068634,0.3911334402192326,0.3748949399796523,0.35472119129088503
NW_PARp,IC_UB,0.37796286703163845,0.5304104252700849,0.566806846801232,0.5970466377846135,0.5530070557578934,0.5767972755595308,0.614120397553295,0.6125655207421588,0.6710508663124126,0.598771170532875,0.6163800500362874,0.6264480374026169,0.6013075755905379,0.6125314636893726,0.664353830328986,0.6435690145867707,0.6567516119127006,0.6622548904531225,0.6368553335953676,0.6698392751646672,0.6493516985593601,0.6775692384707226,0.6606094445177162,0.6393733267980504
NW_PARp-A,IC_LB,0.13214808000275988,0.1683983984048451,0.15617599463541412,0.15917005112635887,0.11023596476232389,0.11753377637187534,0.1334603870655262,0.1251576078667426,0.16009720188002907,0.10676870499198743,0.11369197956149824,0.11481966117063741,0.09230885915989567,0.09424677063424913,0.12360253888324113,0.10595970988181919,0.10943019751728683,0.10926799163741596,0.0928538222362919,0.11199665960666222,0.09454193900508301,0.10841427295130612,0.0927839677027778,0.07395557331719138
NW_PARp-A,mean,0.2509520598804834,0.34324291757901954,0.35316153689429614,0.36835643188392136,0.3219854185351508,0.33955832808618086,0.36772229886993735,0.364021006038594,0.41362572220622174,0.35395282452888055,0.3673899048561776,0.3708950181511104,0.3466790902170802,0.3514674224382856,0.3925533805298018,0.3742563564256265,0.38268816712048426,0.38554022688592743,0.36563616221865763,0.39126980112541254,0.37169222209607633,0.3935596891713527,0.377542611937922,0.35814648911035785
NW_PARp-A,IC_UB,0.3697560397582069,0.518087436753194,0.5501470791531782,0.5775428126414839,0.5337348723079777,0.5615828798004864,0.6019842106743485,0.6028844042104454,0.6671542425324144,0.6011369440657737,0.621087830150857,0.6269703751315834,0.6010493212742647,0.6086880742423221,0.6615042221763625,0.6425530029694337,0.6559461367236816,0.6618124621344389,0.6384185022010234,0.6705429426441629,0.6488425051870697,0.6787051053913993,0.6623012561730661,0.6423374049035243
PARp-A_J_20,IC_LB,0.24321949928912126,0.30262851490119436,0.3015863616345803,0.2994383047848193,0.2696697672914058,0.2846272355704307,0.2826084753719533,0.2716294562841446,0.28570657088931073,0.2768526606932465,0.27664200709069336,0.27197048357732406,0.27675784603459247,0.26368289193865213,0.22538228712192937,0.23153799181957996,0.23006379616619688,0.22435929309491492,0.24958131739556122,0.25283820431273374,0.2482995681785612,0.24832819418062585,0.22582810914580947,0.2114639936543543
PARp-A_J_20,mean,0.40175174217093934,0.5259690774734731,0.5708278962072292,0.5794030421541769,0.5580019442499651,0.5803586077990608,0.565709331733981,0.5550479815921399,0.5710700217580197,0.5636257721215362,0.563449218201061,0.5588651211182649,0.5686385121713827,0.5557511813333156,0.5156282684066419,0.5249884595846136,0.5263038249571761,0.5208683805113027,0.5520289757459192,0.5590806752470702,0.555454032739685,0.5588256911343752,0.5349078155187103,0.5190500158922388
PARp-A_J_20,IC_UB,0.5602839850527574,0.7493096400457518,0.8400694307798781,0.8593677795235346,0.8463341212085244,0.8760899800276909,0.8488101880960086,0.8384665069001351,0.8564334726267286,0.850398883549826,0.8502564293114285,0.8457597586592058,0.8605191783081729,0.847819470727979,0.8058742496913545,0.8184389273496473,0.8225438537481553,0.8173774679276904,0.8544766340962773,0.8653231461814066,0.8626084973008088,0.8693231880881245,0.8439875218916111,0.8266360381301232
PARp-A_J_30,IC_LB,0.16384853102461727,0.23646368985247324,0.25988556154875475,0.2406564781186184,0.20783644259927575,0.19042693561895002,0.18668968014127119,0.19800922297453305,0.2051827938850861,0.23339564808325947,0.23806868921953023,0.2352115064675671,0.21908706929384786,0.22814697860177197,0.23468656500790364,0.23413682024185783,0.2327503655961916,0.23142550188633088,0.2419854922401658,0.2481232772808612,0.23064855460034944,0.21603809191225976,0.20763745369697695,0.214563241694522
