model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.11919089361759996,0.1460867604506578,0.1313546529697633,0.13384116517373454,0.08631969884366647,0.09164212353130699,0.1105000686093765,0.10695660247382022,0.14585736152640588,0.09599310230853164,0.10563305185516814,0.10979295737449046,0.08918971944155546,0.09457570815817301,0.1264749434448939,0.10925658907453922,0.11358404325778171,0.11401013585877728,0.09634038312055482,0.11615406117698068,0.10009180897038339,0.11326125165745338,0.09760317100039584,0.0785526615698634
NW_PARp,mean,0.2492150176558065,0.3396126085481398,0.3518658620781447,0.3692062603453548,0.32386159838995016,0.3393464466660912,0.3683477009444671,0.36639110769205535,0.4162798123196886,0.3554598241805979,0.36956209461791806,0.3768863173237606,0.35393136729605057,0.3623735023683269,0.4046481672032179,0.38555660369948974,0.3945091089279277,0.3976588401577598,0.37604898456720615,0.4026395250062973,0.3842827928861505,0.4051598592645071,0.3888286982163582,0.3687451694766201
NW_PARp,IC_UB,0.37923914169401307,0.5331384566456218,0.572377071186526,0.604571355516975,0.5614034979362339,0.5870507698008754,0.6261953332795578,0.6258256129102905,0.6867022631129713,0.6149265460526642,0.633491137380668,0.6439796772730307,0.6186730151505457,0.6301712965784807,0.6828213909615419,0.6618566183244403,0.6754341745980736,0.6813075444567424,0.6557575860138575,0.6891249888356139,0.6684737768019177,0.6970584668715608,0.6800542254323205,0.6589376773833768
NW_PARp-A,IC_LB,0.12629378427222449,0.1596337821726508,0.1483575450625366,0.1525079925009521,0.1032497089163062,0.11187996035936948,0.12934030436214355,0.12321877504086959,0.16094697523115037,0.11020697774103594,0.12117314595725903,0.12399798572983473,0.10113806445284229,0.10313063036097642,0.13276403894873628,0.11472790480822687,0.11827842760995444,0.11823975387491398,0.10164763749217265,0.12066851270249296,0.10301062499560854,0.1168197846302893,0.10109750186266325,0.08232500804965648
NW_PARp-A,mean,0.24798801641259893,0.3387103595986589,0.3501168850692359,0.36689233958861994,0.32039446908904745,0.3392134355154464,0.36885491889673483,0.36707156303813043,0.41941319216709627,0.3619085585556236,0.37910462417939284,0.3841769980060229,0.3596626671921083,0.36460702585139476,0.4062502344102817,0.3876563720836114,0.39632694387310646,0.39942961046416037,0.37934440665268787,0.4050897826780396,0.38533678283631045,0.4074016981025914,0.3913434791312677,0.37204080953612806
NW_PARp-A,IC_UB,0.3696822485529734,0.517786937024667,0.5518762250759351,0.5812766866762877,0.5375392292617887,0.5665469106715233,0.6083695334313262,0.6109243510353912,0.6778794091030422,0.6136101393702112,0.6370361024015266,0.644356010282211,0.6181872699313744,0.6260834213418132,0.6797364298718271,0.6605848393589959,0.6743754601362585,0.6806194670534067,0.6570411758132031,0.6895110526535861,0.6676629406770124,0.6979836115748935,0.6815894563998721,0.6617566110225996
PARp-A_J_20,IC_LB,0.2383462752816016,0.3286687314113147,0.32735142785218346,0.3231070786890903,0.27448245114772074,0.27308142412659836,0.27260507421188085,0.2743541860804941,0.2474306489162793,0.24960033103398116,0.24749363613706582,0.23621577306800606,0.21161711124762017,0.2188768815269308,0.22015568274718694,0.22252318449377573,0.22319862100785243,0.22645863868245808,0.2323651372345792,0.22989935521646376,0.2137085339550116,0.2067906134183451,0.20236881804367207,0.2027895549000443
PARp-A_J_20,mean,0.41887566777289864,0.5920102164172379,0.6264569587039929,0.6221010126559816,0.5773806812105772,0.5796451425505494,0.571666553327854,0.5697316464586548,0.5265648984452769,0.5315019742311892,0.527069711064525,0.5154538865635169,0.4937181203070468,0.5072821942557078,0.510723637180585,0.5169811048592856,0.5230452419203818,0.5280299230375086,0.5311709601623003,0.5282062232003539,0.5100336707164213,0.5100867025153196,0.5153242421102955,0.521744585496785
PARp-A_J_20,IC_UB,0.5994050602641957,0.8553517014231612,0.9255624895558023,0.921094946622873,0.8802789112734336,0.8862088609745005,0.8707280324438271,0.8651091068368155,0.8056991479742744,0.8134036174283972,0.8066457859919842,0.7946920000590276,0.7758191293664735,0.7956875069844846,0.8012915916139831,0.8114390252247955,0.8228918628329112,0.8296012073925592,0.8299767830900213,0.8265130911842441,0.806358807477831,0.8133827916122942,0.828279666176919,0.8406996160935258
PARp-A_J_30,IC_LB,0.1921809569502393,0.2734174263424549,0.28824884666035355,0.26623121719349113,0.22946922707442463,0.21143149639411174,0.20819505194574478,0.21777711881701428,0.2235934569124633,0.25182443820692857,0.2546941682713691,0.25002052580347295,0.2337747612075431,0.24308150748624918,0.24963179403212293,0.2487621129391675,0.24743774392626317,0.24626173177871374,0.25719378086514355,0.2636157630237873,0.2465101657832866,0.2309985747511431,0.22190648273552877,0.22888636838044318
PARp-A_J_30,mean,0.36612238745640424,0.5292942374074865,0.5637761571659229,0.5477808043523187,0.5096287329344811,0.49541701801746607,0.5040580236293399,0.5197993429252776,0.5252650134857996,0.5602108465313683,0.5626624592414193,0.551064209372001,0.5395020267868363,0.5497911497351952,0.5592284704173737,0.561422852320403,0.5618387175585668,0.5634829931262104,0.5798681321950265,0.590790537317278,0.5721177504649622,0.5559882294267434,0.5469319423051267,0.5602635251232717
PARp-A_J_30,IC_UB,0.5400638179625692,0.7851710484725181,0.8393034676714922,0.8293303915111463,0.7897882387945375,0.7794025396408204,0.7999209953129351,0.8218215670335409,0.8269365700591358,0.8685972548558081,0.8706307502114696,0.852107892940529,0.8452292923661295,0.8565007919841412,0.8688251468026245,0.8740835917016385,0.8762396911908705,0.8807042544737071,0.9025424835249095,0.9179653116107688,0.8977253351466377,0.8809778841023437,0.8719574018747245,0.8916406818661002
PARp-A_J_40,IC_LB,0.2227686708107103,0.2869766749388945,0.3034262188424831,0.2818907225592621,0.2325848494638783,0.2357146983612411,0.22909290749027383,0.23531039677248083,0.2362530424837288,0.27801795073560864,0.27641043242293944,0.27069230123237864,0.24262568646998056,0.2492328286632447,0.2482332337407946,0.24760490842922855,0.23989354231679105,0.23756844057628207,0.25061951117711695,0.25605932758634375,0.236209367860446,0.21792323420895027,0.2093184164514485,0.21839830143305994
PARp-A_J_40,mean,0.3905067047093262,0.5371906821520712,0.5765893370083732,0.5610868120066997,0.5118010294276417,0.5207809033644061,0.5171755351459099,0.5277932369073391,0.5308052245029148,0.5792224072931991,0.5801069208123198,0.5739661362459713,0.5485537135680137,0.556608529945049,0.5596440881103532,0.5611412554488384,0.5546358646094952,0.554631463988196,0.57152643317924,0.5809173459968331,0.5587296902685077,0.5405643241867779,0.5331222038455782,0.5489331955183343
PARp-A_J_40,IC_UB,0.5582447386079421,0.787404689365248,0.8497524551742633,0.8402829014541373,0.7910172093914052,0.8058471083675711,0.8052581628015458,0.8202760770421975,0.8253574065221008,0.8804268638507895,0.8838034092017002,0.8772399712595639,0.854481740666047,0.8639842312268532,0.8710549424799117,0.8746776024684483,0.8693781869021994,0.8716944874001098,0.892433355181363,0.9057753644073224,0.8812500126765694,0.8632054141646055,0.8569259912397078,0.8794680896036087
