model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,median,0.08135216134902486,0.12345532309377834,0.07380363960605377,0.09503043687899304,0.055973529741207645,0.0614842603297993,0.08414229837858786,0.07265949236646331,0.10858686591527203,0.055211364823520646,0.06358663002734559,0.06447117390130774,0.05263355434326046,0.05612260651567554,0.08864475853914149,0.07502954198333853,0.08514937826126401,0.08035697307276342,0.06683895093056555,0.07859691790162736,0.05972642632483502,0.07796455680154417,0.06567619279240287,0.0379121779859484
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,median,0.09271309546445688,0.12983255761831158,0.12211771433145743,0.15830151368021436,0.12507351235847283,0.09018172288516502,0.09731661460263885,0.10340526582745418,0.15675773728466147,0.12446423616891407,0.09832450200625978,0.06258624360160506,0.054132756601453405,0.06633698197739547,0.08657533655309188,0.08164449295383,0.07966404136941495,0.0850077771642225,0.07124927504480913,0.07147487912727159,0.05505307953040812,0.07746217150789879,0.0611186857262965,0.03397194786681591
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,median,0.16927372855787037,0.1564731696843799,0.16001166002888928,0.22865765071376043,0.14781179116832993,0.10441247734544118,0.155386149093325,0.19766773926261802,0.1822207494796566,0.18807436328107444,0.1366985566525832,0.15461385368597733,0.22364347667126044,0.21737339616145349,0.20242208963830466,0.2088167001981534,0.16808074529700573,0.18232139172001474,0.19728598082527973,0.226193283159933,0.20291660242549087,0.16794404749917252,0.1521960233705279,0.16120341418474166
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,median,0.12274278722157755,0.2170727120208548,0.2736415989074474,0.2324199953544314,0.22310698334208612,0.1623958491518083,0.12983588361262333,0.16481626543829253,0.2142939240478335,0.23606202802133164,0.22106066959302312,0.20959643347987345,0.19854402214385103,0.20484897126163717,0.19856032100494078,0.20142944472176968,0.19382743644514833,0.18474965642219024,0.1857836696510432,0.20168367317111568,0.17959467090245923,0.17966534198782744,0.16543156095764655,0.1748943180550029
PARp-A_J_30,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,median,0.15871315450579637,0.228619215850868,0.29282838223064556,0.27032477821923023,0.2328044790347308,0.2019078139667184,0.20335938336588033,0.2318326578177871,0.21069564232451465,0.2768859439696005,0.2564454992204347,0.21369702577942468,0.1981898107648305,0.19725779513651,0.185410939104712,0.1778490039951981,0.17846362856544812,0.17871101360874397,0.20061190631801767,0.2019375062434898,0.1892469312569796,0.1819804045369874,0.17195865585136255,0.18620599032935034
PARp-A_J_40,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,median,0.13165809996398703,0.22001425634960098,0.23545240371544768,0.19739715626639973,0.14988557061508434,0.15475845728218932,0.1441704164476322,0.16770357215843867,0.17174587582925438,0.2066302076055819,0.20689521498551897,0.18141951698826336,0.14702756081355506,0.16363131191610214,0.16017304680008226,0.1667984209223909,0.14641805122662527,0.14158899063505187,0.15915201478616103,0.16120837024717966,0.1443830124041312,0.13287936412100132,0.12806622123783942,0.14075867833515066
PARp-A_J_50,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,median,0.13979316997418295,0.19207566665376585,0.18278402340446143,0.16635923700727562,0.12985535185664157,0.12502075049566408,0.09836838216087213,0.13217208777121828,0.1402715297575206,0.1647856614865468,0.16771044154440526,0.14133285000046056,0.10621647611638015,0.1165182033303508,0.11964442341087014,0.12210111794654323,0.11527007443995865,0.11449720542411025,0.12859592369907563,0.13271129080893068,0.11987759362621112,0.10525797655083627,0.09560615404295691,0.11662076968962153
PARp-A_J_60,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_70,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_70,median,0.15665462225844223,0.15589744127560928,0.15511350265571117,0.13552741043840041,0.10938849423503738,0.1033382490780501,0.07236031619823399,0.10246499555736763,0.098299606480913,0.12668191180127178,0.11914154239377844,0.09641060010239753,0.08271434091264912,0.08357669120015558,0.08932626086607759,0.09108833256498133,0.08679743476268054,0.08075130641244982,0.09172840803511427,0.09716043270819974,0.07707026430620682,0.060107356135166,0.053987453558246995,0.07837386119519373
PARp-A_J_70,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_80,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_80,median,0.10593009080846712,0.15419514710224536,0.14378223432014386,0.13947164746269053,0.09956462068397767,0.07054202143279154,0.055092739458166236,0.09550287787453525,0.08765954442704993,0.11229440856329324,0.08320605741397939,0.08041704770899216,0.053656182124136184,0.06258337818436913,0.07240383217052218,0.06586583716574256,0.055884062839451215,0.041278921352426445,0.05379841385627139,0.06294716369901794,0.03790944178567178,0.02491514286613713,0.01911737383543747,0.03210459809764512
PARp-A_J_80,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_2,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_2,median,0.11927592936730291,0.14380870909887986,0.12709672104007336,0.11364465792469017,0.09779476090795734,0.05689013073897882,0.07181537787118038,0.08820495781931298,0.08415237948989654,0.12285668748869444,0.10742729407533148,0.06133890018733586,0.029669652396198343,0.062020912701769036,0.053372928708887005,0.045290719775152054,0.042894685611565356,0.03228541067003852,0.0475048632276345,0.06063815662951688,0.029850050103095778,0.014118610326520512,0.005665036061918113,0.013445076187842289
PARp-A_w_2,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_4,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_4,median,0.11651687009914313,0.1508676141069264,0.11694828303948035,0.1085663113402433,0.07873023908434298,0.07199666399931,0.06184055536078306,0.07918746885724569,0.09013958230692935,0.12870691454521155,0.10504101291911318,0.07400108762674028,0.035828982581620386,0.057205402312553444,0.05134314894341749,0.044337666240256944,0.03989950342171726,0.028718828705253767,0.04931185134288629,0.06174671038488799,0.027947841405642077,0.010556912987583206,0.0038714560125379183,0.013973683273501574
PARp-A_w_4,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
