model,statistics
NW_PARp,-19261.473266666653
NW_PARp-A,-17406.52777272728
PARp-A_J_20,10825.041680672974
PARp-A_J_30,4534.246763175729
PARp-A_J_40,7085.830325931659
PARp-A_J_50,-2458.7912599717065
PARp-A_J_60,-8488.995404833047
PARp-A_J_70,-14141.289417510434
PARp-A_J_80,-19791.42016126172
PARp-A_w_2,-20935.792849917834
PARp-A_w_4,-20913.444897995596
PARp-A_w_11,-20350.088361063692
SeasonalNaive,-8731.182303030313
SARIMA,3763.850987341798
StructuralModel,214491.5173907303
ScoreDrivenModel,15825.411259790388
MonthlyMedian,-26792.728484848485
