model,statistics
NW_PARp,-16958.821690624995
NW_PARp-A,-15594.344290624995
PARp-A_J_20,10375.621886037949
PARp-A_J_30,9158.79443360434
PARp-A_J_40,9514.003080231761
PARp-A_J_50,-602.7833304862426
PARp-A_J_60,-6709.024842695779
PARp-A_J_70,-12347.616510980904
PARp-A_J_80,-17939.72587137824
PARp-A_w_2,-18489.88714148936
PARp-A_w_4,-18445.806857392192
PARp-A_w_11,-17831.456476111394
SeasonalNaive,-6707.486000000004
SARIMA,7301.387720369081
StructuralModel,206515.2224807373
ScoreDrivenModel,18407.863015002826
MonthlyMedian,-20774.60825
