model,statistics
NW_PARp,-2593.7122499999678
NW_PARp-A,198.381249999994
PARp-A_J_20,7856.886510376149
PARp-A_J_30,24242.884963476812
PARp-A_J_40,17907.27263084224
PARp-A_J_50,10289.261812979452
PARp-A_J_60,6792.224755461473
PARp-A_J_70,1139.0732065448974
PARp-A_J_80,-2540.3363582386955
PARp-A_w_2,-3472.9696519850313
PARp-A_w_4,-4147.8473487332885
PARp-A_w_11,-4177.445442363605
SeasonalNaive,-806.1100000000151
SARIMA,18101.71407364175
StructuralModel,169396.3278416851
ScoreDrivenModel,10497.077498011062
MonthlyMedian,-15617.915000000023
